,senior_citizen,tenure,internet_service_type_id,contract_type_id,payment_type_id,monthly_charges,total_charges,male,partner_Yes,dependents_Yes,phone_service_Yes,multiple_lines_Yes,online_security_Yes,online_backup_Yes,device_protection_Yes,tech_support_Yes,streaming_tv_Yes,streaming_movies_Yes,paperless_billing_Yes,churn
48,0,1,1,1,2,44.3,44.3,1,0,0,1,0,0,0,0,0,0,0,1,0
49,0,29,2,1,1,94.2,2607.6,1,0,0,1,0,0,0,0,1,1,1,1,0
50,0,64,1,2,1,81.25,5567.55,1,0,0,1,1,1,1,1,1,1,0,0,0
51,0,39,2,1,4,99.95,3767.4,0,1,1,1,1,0,0,0,1,1,1,1,0
52,1,40,2,1,1,91.55,3673.6,0,0,0,1,0,0,0,0,0,1,1,1,0
53,0,40,2,1,4,104.5,4036.85,1,0,0,1,1,0,1,1,0,1,1,1,1
54,1,11,2,1,1,95.0,1120.3,0,0,0,1,0,0,1,0,0,1,1,1,1
55,0,6,1,1,1,50.35,314.55,0,1,0,1,1,0,0,0,0,0,0,0,0
56,0,30,1,1,2,64.5,1888.45,1,0,0,1,1,1,0,0,0,0,1,1,0
57,0,27,3,1,1,19.4,529.8,1,0,0,1,0,0,0,0,0,0,0,1,0
58,1,70,2,2,1,104.8,7308.95,1,1,0,1,1,0,1,1,0,1,1,1,0
59,0,57,2,2,3,109.4,6252.7,0,1,0,1,1,0,1,1,1,1,1,1,0
60,0,58,1,2,4,50.3,2878.55,1,1,0,1,0,0,0,1,0,0,0,0,0
61,0,16,1,1,3,71.4,1212.1,1,0,0,1,1,0,1,1,0,0,1,1,0
62,0,69,2,3,1,116.0,8182.85,0,1,0,1,1,1,1,1,1,1,1,1,0
63,0,1,3,1,1,19.85,19.85,1,0,0,1,0,0,0,0,0,0,0,1,1
64,0,1,2,1,1,99.75,99.75,1,0,1,1,1,0,0,1,0,1,1,1,1
65,1,32,2,1,2,93.95,2861.45,1,1,1,1,0,0,1,0,0,1,1,1,0
66,0,16,2,1,3,90.8,1442.2,1,1,1,1,1,0,0,1,0,1,0,1,0
67,0,49,1,2,1,84.35,4059.35,1,1,0,1,1,1,0,1,1,1,1,0,1
68,0,71,1,3,3,58.25,4145.9,0,1,0,0,0,0,1,1,1,1,1,0,0
69,0,33,2,1,1,107.55,3645.5,0,0,0,1,1,0,1,1,0,1,1,0,0
70,0,10,3,1,3,19.95,187.75,0,1,0,1,0,0,0,0,0,0,0,1,0
71,0,21,2,1,1,111.2,2317.1,1,1,0,1,1,0,1,1,1,1,1,1,1
72,0,37,1,1,3,40.2,1448.8,1,1,1,0,0,1,1,1,0,0,0,0,1
73,1,26,2,1,4,85.8,2193.65,0,0,0,1,0,1,0,0,0,1,0,1,0
74,0,50,1,2,2,35.4,1748.9,1,0,0,0,0,1,0,0,1,0,0,1,0
75,0,7,2,1,1,73.85,511.25,0,0,0,1,1,0,0,0,0,0,0,1,1
76,0,61,1,3,2,88.1,5526.75,0,1,1,1,1,1,1,1,1,1,1,0,0
77,0,15,2,1,1,101.35,1553.95,1,0,0,1,0,0,0,1,1,1,1,1,1
78,0,26,1,1,2,45.8,1147.0,0,0,1,0,0,1,0,0,1,0,1,0,0
79,0,72,2,1,1,94.65,6747.35,1,1,0,1,0,0,0,1,0,1,1,1,0
80,0,44,3,2,3,20.5,865.05,1,1,1,1,0,0,0,0,0,0,0,1,0
81,0,66,2,1,4,89.4,5976.9,1,0,0,1,1,0,1,0,0,0,1,0,0
82,0,2,2,1,1,86.25,181.65,0,0,0,1,0,1,1,0,1,0,0,1,1
83,1,44,1,2,3,74.85,3268.05,0,0,0,1,0,0,0,1,1,1,1,0,0
84,0,12,2,1,3,89.75,1052.4,0,0,0,1,1,0,1,0,0,1,0,1,1
85,1,69,2,3,1,109.95,7634.25,1,1,0,1,1,0,1,1,1,1,1,1,0
86,0,1,2,1,2,80.2,80.2,0,0,0,1,1,0,1,0,0,0,0,1,1
87,0,3,3,1,2,19.85,63.75,0,0,0,1,0,0,0,0,0,0,0,0,1
88,0,2,2,1,1,90.35,190.5,0,1,0,1,0,1,1,0,0,1,0,0,0
89,1,27,2,1,3,86.45,2401.05,0,0,0,1,1,0,1,1,0,0,0,1,0
90,0,26,3,1,1,20.3,511.25,1,0,0,1,0,0,0,0,0,0,0,1,0
91,1,39,2,1,1,101.25,3949.15,0,1,0,1,1,0,0,0,1,1,1,1,0
92,0,25,2,1,3,94.7,2362.1,1,0,0,1,1,0,0,0,0,1,1,1,1
93,0,1,2,1,2,70.9,70.9,0,0,0,1,0,0,0,0,0,0,0,0,1
94,0,22,1,1,1,54.2,1152.7,1,1,0,1,0,1,0,0,1,0,0,1,1
95,0,72,2,3,1,114.9,8496.7,0,0,0,1,1,1,1,1,1,1,1,1,0
96,0,24,3,3,3,19.55,470.2,0,0,0,1,0,0,0,0,0,0,0,1,0
97,0,19,2,1,1,86.85,1564.4,0,1,0,1,1,0,0,0,0,1,0,1,0
98,0,71,3,3,4,25.35,1847.55,1,1,1,1,1,0,0,0,0,0,0,0,0
99,1,33,2,1,3,109.9,3694.7,1,1,0,1,1,1,0,1,1,1,1,1,0
100,0,3,3,1,2,19.95,58.0,0,0,0,1,0,0,0,0,0,0,0,0,0
101,0,47,2,1,1,87.2,4017.45,1,1,1,1,1,0,1,0,0,1,0,0,0
102,0,62,2,3,2,108.15,6825.65,1,1,1,1,0,1,1,1,1,1,1,0,0
103,0,71,2,2,3,116.3,8309.55,1,0,0,1,1,1,1,1,1,1,1,1,0
104,1,7,2,1,1,89.0,605.45,1,1,0,1,0,0,0,0,0,1,1,1,0
105,0,27,2,1,2,74.4,1972.35,0,1,1,1,0,1,0,0,0,0,0,0,0
106,0,2,3,1,2,20.05,33.7,1,0,0,1,0,0,0,0,0,0,0,0,0
107,0,25,1,3,3,35.05,844.45,0,0,1,0,0,1,0,0,1,0,0,0,0
108,1,30,1,1,1,74.75,2111.3,1,0,0,1,0,1,1,0,0,1,1,1,0
109,1,58,2,2,4,105.5,6205.5,0,1,0,1,0,1,1,0,1,1,1,1,1
110,0,10,2,1,1,85.25,855.3,1,1,0,1,1,0,0,0,0,0,1,1,1
111,0,9,2,1,4,75.2,633.85,0,0,0,1,1,0,0,0,0,0,0,1,0
112,1,6,2,1,1,84.35,474.9,0,1,0,1,1,0,0,0,0,0,1,1,1
113,0,69,2,2,3,84.45,5848.6,0,1,1,1,1,1,0,1,0,0,0,0,0
114,1,66,2,3,3,102.4,6471.85,0,0,0,1,1,1,0,0,0,1,1,1,0
115,0,70,2,2,4,115.55,8127.6,0,0,0,1,1,1,1,1,1,1,1,0,1
116,0,25,3,2,3,25.3,676.35,1,0,0,1,1,0,0,0,0,0,0,0,1
117,0,46,3,3,2,19.25,864.2,0,1,1,1,0,0,0,0,0,0,0,1,0
118,0,54,2,2,2,114.65,6049.5,0,1,0,1,1,1,1,1,1,1,1,1,0
119,0,15,2,1,1,105.1,1582.75,0,0,0,1,0,1,0,1,1,1,1,0,1
120,0,12,3,1,3,19.4,198.1,0,1,1,1,0,0,0,0,0,0,0,0,0
121,0,22,1,1,1,50.35,1098.85,0,0,0,0,0,0,1,0,0,1,1,1,0
122,0,70,1,3,3,57.8,4039.3,0,1,0,0,0,0,1,1,1,1,1,0,0
123,0,30,2,1,4,84.3,2438.6,1,0,0,1,0,1,1,1,0,0,0,1,0
124,0,71,2,2,3,100.55,7113.75,1,1,1,1,1,0,1,0,0,1,1,0,0
125,0,30,3,2,4,19.8,576.65,1,1,0,1,0,0,0,0,0,0,0,0,0
126,0,4,2,1,3,84.8,371.9,1,1,1,1,1,0,1,1,0,0,0,1,1
127,0,2,2,1,1,85.85,167.3,1,0,0,1,0,0,0,1,0,0,1,1,1
128,0,10,3,2,3,19.95,219.5,1,0,1,1,0,0,0,0,0,0,0,1,0
129,1,4,2,1,1,75.35,273.4,1,0,0,1,0,1,0,0,0,0,0,0,0
130,1,52,1,1,4,48.8,2555.05,1,0,0,0,0,1,0,0,0,1,1,1,0
131,0,5,1,1,1,47.15,223.15,1,0,0,1,1,0,0,0,0,0,0,0,1
132,0,8,3,3,2,20.15,165.5,1,1,1,1,0,0,0,0,0,0,0,0,0
133,1,2,1,1,1,44.3,89.3,0,0,0,1,0,0,0,0,0,0,0,1,0
134,0,3,2,1,1,84.3,235.05,1,0,0,1,0,0,1,0,0,0,1,0,0
135,0,19,1,1,1,59.55,1144.6,1,0,0,1,1,0,0,1,1,0,0,0,0
136,0,72,1,3,3,69.65,4908.25,1,0,0,1,1,1,1,1,1,0,0,0,0
137,1,63,1,2,3,36.1,2298.9,1,1,0,0,0,1,0,0,1,0,0,0,0
138,0,66,1,3,3,56.6,3789.2,1,1,0,0,0,1,1,1,1,1,0,1,0
139,0,1,2,1,1,75.9,75.9,1,0,0,1,0,0,0,0,1,0,0,1,1
140,0,60,2,2,3,79.2,4765.0,0,0,0,1,1,0,0,1,0,0,0,1,0
141,0,48,1,2,4,45.0,2196.3,0,1,1,0,0,1,0,1,0,0,1,0,0
142,0,1,2,1,4,85.55,85.55,0,0,0,1,0,0,0,1,0,1,0,1,1
143,0,15,2,1,1,93.35,1444.65,1,0,0,1,1,0,0,0,0,1,1,1,1
144,0,50,2,1,3,109.65,5405.8,0,1,0,1,1,1,1,0,1,1,1,1,0
145,0,72,1,3,4,89.7,6339.3,1,1,1,1,1,1,1,1,1,1,1,0,0
146,0,46,2,1,2,84.25,3847.6,0,0,0,1,1,1,1,0,0,0,0,0,0
147,0,72,1,3,3,92.65,6733.0,0,1,1,1,1,1,1,1,1,1,1,0,0
148,0,1,3,1,2,19.7,19.7,1,1,1,1,0,0,0,0,0,0,0,0,0
149,0,1,1,1,1,50.1,50.1,0,0,0,1,1,0,0,0,0,0,0,1,0
150,1,67,2,3,3,92.45,6140.85,0,0,0,1,0,1,1,0,1,1,0,1,0
151,0,48,1,3,1,79.65,3870.3,0,1,1,1,1,0,1,0,1,1,1,0,0
152,0,72,2,3,1,109.9,7624.2,0,0,0,1,0,1,1,1,1,1,1,1,0
153,0,52,1,2,4,81.4,4354.45,1,1,0,1,1,1,1,1,1,0,1,1,0
154,0,67,1,2,4,50.55,3431.75,0,1,1,1,0,0,1,0,0,0,0,0,0
155,0,28,2,1,1,81.05,2227.1,0,1,1,1,0,0,0,0,0,0,1,1,1
156,0,32,1,1,3,62.45,2045.55,0,1,1,1,1,0,1,1,0,0,0,0,0
157,1,27,2,1,3,75.2,1929.35,0,1,0,1,0,1,0,0,0,0,0,1,1
158,0,3,2,1,1,90.4,268.45,1,0,0,1,0,0,1,1,0,0,1,0,0
159,0,2,2,1,1,85.65,181.5,1,0,0,1,1,0,0,0,0,1,0,1,1
160,0,9,1,1,2,72.9,651.4,0,0,1,1,0,0,0,1,1,1,1,1,1
161,0,50,1,3,4,70.5,3486.65,1,1,1,1,1,1,0,0,1,1,0,1,0
162,0,71,3,3,3,20.1,1389.6,0,1,1,1,0,0,0,0,0,0,0,0,0
163,1,32,2,1,1,74.9,2303.35,1,1,0,1,1,0,0,0,0,0,0,1,1
164,0,16,2,1,3,100.7,1522.7,0,1,1,1,0,1,0,1,0,1,1,0,0
165,0,67,2,3,3,105.65,6717.9,0,1,1,1,1,0,0,1,1,1,1,1,0
166,0,72,2,3,4,114.3,8058.55,1,1,1,1,1,1,1,1,1,1,1,1,0
167,0,3,3,1,1,19.75,58.85,0,0,0,1,0,0,0,0,0,0,0,0,1
168,0,23,3,2,2,24.35,538.5,1,1,1,1,1,0,0,0,0,0,0,0,0
169,0,72,1,3,3,69.85,5102.35,1,1,1,1,1,1,1,1,1,0,0,0,0
170,0,7,1,1,2,58.85,465.7,1,1,1,0,0,1,1,1,0,1,1,0,0
171,0,8,1,1,1,54.4,475.1,1,1,1,1,0,0,0,0,0,1,0,1,0
172,0,66,1,3,3,50.55,3364.55,1,1,1,0,0,0,0,0,1,1,1,0,0
173,0,5,3,1,2,21.05,113.85,1,0,0,1,0,0,0,0,0,0,0,0,1
174,0,49,2,1,3,103.7,5036.3,1,0,0,1,1,0,1,1,0,1,1,1,1
175,0,63,3,3,3,19.95,1234.8,1,1,0,1,0,0,0,0,0,0,0,1,0
176,1,12,1,1,2,29.3,355.9,0,1,1,0,0,0,0,0,1,0,0,1,0
177,0,27,1,1,4,54.75,1510.3,1,1,1,1,0,1,1,0,0,0,0,1,0
178,0,35,1,1,1,60.55,1982.6,0,0,0,1,0,1,1,1,0,0,0,0,0
179,0,54,1,1,1,86.2,4524.05,0,1,1,1,1,0,1,1,1,1,1,1,0
180,0,1,2,1,1,95.45,95.45,1,0,0,1,1,0,0,0,0,1,1,1,1
181,0,5,1,1,4,63.95,318.1,1,0,0,1,0,0,0,1,1,1,0,1,0
182,0,19,1,2,3,65.35,1231.85,1,0,0,1,0,0,1,0,1,0,1,1,0
183,0,52,1,3,2,50.2,2554.0,1,1,1,0,0,0,1,1,1,1,0,0,0
184,0,72,1,3,3,63.8,4684.3,0,1,1,0,0,1,1,1,1,1,1,1,0
185,0,32,3,3,3,20.05,614.45,1,0,0,1,0,0,0,0,0,0,0,1,0
186,0,8,2,1,1,101.15,842.9,0,1,0,1,0,0,1,1,0,1,1,0,1
187,0,41,1,2,2,65.0,2531.8,1,0,0,1,1,0,0,1,0,0,1,0,0
188,0,5,3,1,2,19.25,86.05,1,0,0,1,0,0,0,0,0,0,0,1,0
189,0,11,1,2,2,36.05,402.6,0,0,1,0,0,1,0,0,1,0,0,1,0
190,0,5,2,1,1,96.1,453.4,1,0,0,1,0,0,0,0,1,1,1,1,1
191,0,16,3,2,2,19.05,326.65,0,0,0,1,0,0,0,0,0,0,0,0,0
192,1,71,2,2,3,105.75,7382.85,1,0,0,1,1,0,1,0,1,1,1,0,0
193,0,11,1,2,4,40.4,422.6,0,0,0,0,0,0,1,1,1,0,0,1,0
194,0,61,2,1,1,99.15,6010.05,0,1,1,1,1,0,1,0,0,1,1,1,1
195,0,71,1,2,3,84.8,6046.1,0,1,0,1,0,1,1,1,1,1,1,1,0
196,0,9,3,1,2,19.85,178.8,1,0,0,1,0,0,0,0,0,0,0,0,0
197,0,6,1,1,1,49.45,314.6,0,0,0,1,0,1,0,0,0,0,0,1,0
198,0,26,2,1,3,88.8,2274.35,0,0,0,1,0,0,0,0,0,1,1,1,1
199,0,6,1,1,2,55.15,322.9,0,0,0,1,0,1,1,0,0,0,0,0,0
200,0,11,2,1,1,84.8,888.75,1,0,0,1,0,0,0,1,0,0,1,0,0
201,0,1,2,1,1,80.55,80.55,1,1,0,1,0,0,0,0,0,1,0,1,1
202,0,49,3,3,3,20.15,973.35,0,1,0,1,0,0,0,0,0,0,0,1,0
203,0,3,1,1,4,58.7,168.6,0,1,1,1,0,0,1,0,0,1,0,1,0
204,0,53,2,3,2,99.5,5424.25,0,0,0,1,0,1,1,1,1,0,1,0,0
205,0,23,2,1,1,99.85,2331.3,1,1,1,1,0,1,0,0,1,1,1,1,1
206,0,2,1,1,1,45.35,89.5,1,0,0,1,0,0,0,0,0,0,0,0,1
207,0,1,1,1,2,48.55,48.55,1,0,0,1,0,1,0,0,0,0,0,1,1
208,0,3,3,3,2,26.4,121.25,1,0,1,1,1,0,0,0,0,0,0,1,0
209,1,68,2,1,1,100.2,6851.65,0,1,0,1,1,0,1,0,0,1,1,1,1
210,0,8,2,1,1,94.7,740.3,1,0,0,1,0,0,0,1,0,1,1,1,1
211,0,70,2,2,1,97.65,6982.5,0,1,0,1,1,0,0,1,0,1,1,1,0
212,0,39,2,2,1,100.0,3835.55,1,1,1,1,1,0,0,1,0,1,1,0,0
213,0,1,2,1,1,70.1,70.1,0,0,0,1,0,0,0,0,0,0,0,1,1
214,0,3,2,1,1,97.9,315.3,0,0,0,1,0,0,1,0,1,1,1,1,1
215,0,60,2,2,3,102.5,6157.6,1,1,0,1,1,0,1,1,0,1,1,0,0
216,0,5,2,1,1,69.95,330.15,0,1,0,1,0,0,0,0,0,0,0,0,1
217,1,3,2,1,1,81.35,233.7,1,0,0,1,1,0,1,0,0,0,0,1,1
218,0,55,1,2,4,66.05,3462.1,0,1,0,1,1,1,1,0,1,0,0,1,0
219,0,72,1,3,4,61.2,4390.25,1,0,0,0,0,1,0,1,1,1,1,1,0
220,1,72,1,3,3,74.4,5360.75,1,1,0,1,0,1,1,1,1,1,0,0,0
221,0,41,2,1,1,106.3,4443.45,0,0,0,1,1,0,1,1,0,1,1,1,1
222,0,60,1,3,3,39.6,2424.5,1,0,0,0,0,1,1,1,0,0,0,0,0
223,0,6,2,1,1,89.3,577.6,0,0,0,1,0,0,0,0,0,1,1,0,1
224,0,46,2,3,4,108.9,4854.3,0,1,0,1,1,0,1,1,1,1,1,1,0
225,0,15,3,1,2,19.9,320.45,0,0,0,1,0,0,0,0,0,0,0,0,0
226,0,58,2,1,4,102.1,5885.4,0,1,0,1,1,0,0,1,1,1,1,1,1
227,0,23,3,3,4,19.6,426.65,1,1,1,1,0,0,0,0,0,0,0,0,0
228,1,31,2,1,1,98.9,2911.3,0,1,1,1,0,0,0,1,1,1,1,1,1
229,0,11,1,1,3,45.9,521.9,1,1,0,1,0,0,0,0,0,0,0,1,0
230,1,56,2,3,3,99.9,5706.3,0,0,0,1,1,0,1,1,1,1,0,1,0
231,0,25,3,1,4,20.05,471.7,0,0,1,1,0,0,0,0,0,0,0,0,0
232,0,68,1,3,4,64.35,4539.6,0,0,0,0,0,1,1,1,1,1,1,0,0
233,0,40,3,3,4,19.65,830.25,0,0,0,1,0,0,0,0,0,0,0,0,0
234,0,36,2,1,1,84.9,3067.2,1,0,0,1,1,0,0,0,0,0,1,1,1
235,0,32,2,1,4,108.15,3432.9,1,0,0,1,1,1,1,0,1,1,1,1,1
236,0,71,1,3,3,86.85,6263.8,1,1,1,1,1,1,1,1,1,1,1,0,0
237,0,17,2,1,1,102.55,1742.5,1,1,0,1,1,0,1,1,0,1,1,1,0
238,0,18,2,1,1,78.2,1468.75,1,1,0,1,0,0,0,1,1,0,0,0,0
239,0,37,2,1,3,91.2,3382.3,0,0,0,1,1,1,1,1,0,0,0,0,0
240,0,2,3,1,2,19.35,46.35,1,0,0,1,0,0,0,0,0,0,0,0,0
241,0,28,2,2,3,70.4,1992.2,0,1,1,1,0,0,0,0,0,0,0,1,0
242,0,9,1,2,2,39.55,373.0,1,0,0,0,0,1,1,1,0,0,0,0,0
243,0,1,1,1,1,50.15,50.15,0,0,0,1,0,1,0,0,0,0,0,0,0
244,0,65,3,3,4,20.4,1414.45,1,1,0,1,0,0,0,0,0,0,0,1,0
245,0,3,1,1,1,44.6,122.7,0,0,0,1,0,0,0,0,0,0,0,0,0
246,0,1,1,1,1,34.7,34.7,0,0,0,0,0,0,0,0,0,1,0,1,1
247,0,36,2,1,1,93.6,3366.05,1,1,0,1,0,1,0,0,0,1,1,1,0
248,0,23,2,1,1,90.6,1943.2,1,0,0,1,1,0,0,0,1,1,0,1,1
249,0,22,1,1,2,57.95,1271.8,1,1,1,1,0,1,1,0,1,0,0,1,0
250,0,72,2,3,4,112.1,7965.95,0,1,0,1,1,1,1,1,1,1,1,0,0
251,0,17,2,1,1,88.25,1460.65,0,1,1,1,1,0,0,1,0,1,0,0,1
252,0,3,2,1,1,85.8,272.2,0,0,0,1,0,0,0,0,1,0,1,0,1
253,0,58,1,2,4,60.3,3563.8,1,1,0,1,0,1,1,1,0,0,0,0,1
254,0,67,1,3,4,81.35,5398.6,1,1,1,1,0,1,1,1,0,1,1,0,0
255,1,34,2,2,1,99.85,3343.15,1,0,0,1,0,0,1,1,0,1,1,1,0
256,0,10,3,1,4,20.0,198.7,1,0,0,1,0,0,0,0,0,0,0,0,0
257,0,69,1,3,4,85.35,5897.4,0,0,0,1,1,1,0,1,1,1,1,1,0
258,0,40,1,2,4,62.05,2511.55,1,0,0,0,0,1,1,1,0,1,1,0,0
259,0,20,1,1,4,64.4,1398.6,1,0,0,1,0,1,0,1,0,0,1,0,0
260,0,46,3,3,2,19.4,967.85,0,1,1,1,0,0,0,0,0,0,0,0,0
261,0,2,2,1,1,74.4,139.4,0,1,0,1,0,1,0,0,0,0,0,1,1
262,1,1,2,1,2,70.45,70.45,0,1,0,1,0,0,0,0,0,0,0,1,1
263,0,72,2,3,4,105.0,7589.8,0,1,0,1,1,1,0,1,0,1,1,1,0
264,0,70,3,3,4,25.15,1790.15,1,1,1,1,1,0,0,0,0,0,0,0,0
265,0,2,3,1,2,19.3,44.4,0,0,0,1,0,0,0,0,0,0,0,0,0
266,0,23,1,1,3,55.3,1284.2,1,0,1,1,0,0,1,0,1,0,0,1,0
267,0,36,2,1,1,95.4,3474.2,1,1,0,1,1,0,0,0,0,1,1,1,0
268,1,59,2,1,3,93.85,5574.75,1,1,0,1,1,0,0,0,0,1,1,1,1
269,0,67,3,3,3,20.5,1430.95,1,0,0,1,0,0,0,0,0,0,0,0,0
270,0,72,2,3,3,105.55,7542.25,1,1,1,1,1,1,0,1,0,1,1,1,0
271,0,37,2,1,3,101.9,3545.35,0,0,0,1,1,0,1,1,0,1,1,1,1
272,0,72,3,3,3,24.45,1709.1,0,1,1,1,1,0,0,0,0,0,0,0,0
273,0,72,3,3,4,19.7,1421.9,1,1,0,1,0,0,0,0,0,0,0,0,0
274,0,3,2,1,1,74.4,229.55,1,0,0,1,1,0,0,0,0,0,0,1,1
275,1,54,2,2,4,101.5,5373.1,0,1,0,1,1,0,1,0,0,1,1,1,1
276,0,60,2,1,1,95.75,5742.9,1,1,0,1,1,0,1,1,0,1,0,1,1
277,0,58,2,2,4,110.65,6526.65,0,1,0,1,1,1,1,1,0,1,1,1,0
278,0,31,2,1,3,83.85,2674.15,0,1,0,1,0,0,1,0,0,0,1,1,0
279,0,3,1,1,1,60.25,170.5,0,0,0,1,1,0,0,0,0,1,0,1,0
280,0,55,1,3,1,59.2,3175.85,1,0,0,1,0,1,0,1,1,0,0,1,0
281,0,1,1,1,2,44.4,44.4,0,0,0,1,0,0,0,0,0,0,0,0,1
282,0,49,2,1,4,85.3,4297.95,1,1,0,1,0,0,1,0,0,1,0,1,0
283,0,8,1,1,2,25.5,215.2,1,0,1,0,0,0,0,0,0,0,0,0,1
284,1,39,2,1,1,99.75,4036.0,0,0,0,1,1,0,0,1,0,1,1,1,0
285,0,66,1,3,4,66.1,4428.45,1,1,0,1,1,1,1,1,0,0,0,1,0
286,0,15,3,2,2,20.55,295.95,0,1,1,1,0,0,0,0,0,0,0,0,0
287,0,51,2,2,1,98.85,4947.55,0,1,0,1,1,0,0,1,0,1,1,1,0
288,1,9,1,1,2,49.2,447.9,1,0,0,1,0,0,0,0,1,0,0,0,0
289,0,1,3,1,2,20.9,20.9,0,0,0,1,0,0,0,0,0,0,0,0,1
290,0,25,3,2,3,19.5,516.3,1,0,0,1,0,0,0,0,0,0,0,1,0
291,0,22,2,1,3,87.0,1850.65,1,1,0,1,0,0,0,1,0,1,0,1,0
292,0,15,1,1,1,49.0,749.25,1,0,0,1,1,0,0,0,0,0,0,1,0
