"","gender","is_senior_citizen","partner","dependents","phone_service","internet_service","payment_type","monthly_charges","total_charges","churn","tenure"
"49","Female","Yes","No","No","Two-plus lines","Fiber optic","Bank transfer",86,2401.05,"No",27
"50","Male","No","No","No","One line","None","Electronic check",20,511.25,"No",25
"51","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",101,3949.15,"No",39
"52","Male","No","No","No","Two-plus lines","Fiber optic","Bank transfer",95,2362.1,"Yes",24
"53","Female","No","No","No","One line","Fiber optic","Mailed check",71,70.9,"Yes",1
"54","Male","No","Yes","No","One line","DSL","Electronic check",54,1152.7,"Yes",21
"55","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",87,1564.4,"No",18
"56","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Bank transfer",110,3694.7,"No",33
"57","Female","No","No","No","One line","None","Mailed check",20,58,"No",2
"58","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",87,4017.45,"No",46
"59","Male","Yes","Yes","No","One line","Fiber optic","Electronic check",89,605.45,"No",6
"60","Female","No","Yes","Yes","One line","Fiber optic","Mailed check",74,1972.35,"No",26
"61","Male","No","No","No","One line","None","Mailed check",20,33.7,"No",1
"62","Male","Yes","No","No","One line","DSL","Electronic check",75,2111.3,"No",28
"63","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",85,855.3,"Yes",10
"64","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",75,633.85,"No",8
"65","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",84,474.9,"Yes",5
"66","Female","No","No","No","One line","Fiber optic","Electronic check",105,1582.75,"Yes",15
"67","Female","No","Yes","Yes","One line","None","Bank transfer",19,198.1,"No",10
"68","Female","No","No","No","None","DSL","Electronic check",50,1098.85,"No",21
"69","Male","No","No","No","One line","Fiber optic","Credit card",84,2438.6,"No",28
"70","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",85,371.9,"Yes",4
"71","Male","No","No","No","One line","Fiber optic","Electronic check",86,167.3,"Yes",1
"72","Male","Yes","No","No","One line","Fiber optic","Electronic check",75,273.4,"No",3
"73","Male","Yes","No","No","None","DSL","Credit card",49,2555.05,"No",52
"74","Male","No","No","No","Two-plus lines","DSL","Electronic check",47,223.15,"Yes",4
"75","Female","Yes","No","No","One line","DSL","Electronic check",44,89.3,"No",2
"76","Male","No","No","No","One line","Fiber optic","Electronic check",84,235.05,"No",2
"77","Male","No","No","No","Two-plus lines","DSL","Electronic check",60,1144.6,"No",19
"78","Male","No","No","No","One line","Fiber optic","Electronic check",76,75.9,"Yes",1
"79","Female","No","No","No","One line","Fiber optic","Credit card",86,85.55,"Yes",1
"80","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",93,1444.65,"Yes",15
"81","Female","No","Yes","No","Two-plus lines","Fiber optic","Bank transfer",110,5405.8,"No",49
"82","Female","No","No","No","Two-plus lines","Fiber optic","Mailed check",84,3847.6,"No",45
"83","Male","No","Yes","Yes","One line","None","Mailed check",20,19.7,"No",1
"84","Female","No","No","No","Two-plus lines","DSL","Electronic check",50,50.1,"No",1
"85","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",81,2227.1,"Yes",27
"86","Female","No","Yes","Yes","Two-plus lines","DSL","Bank transfer",62,2045.55,"No",32
"87","Female","Yes","Yes","No","One line","Fiber optic","Bank transfer",75,1929.35,"Yes",25
"88","Male","No","No","No","One line","Fiber optic","Electronic check",90,268.45,"No",2
"89","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",86,181.5,"Yes",2
"90","Female","No","No","Yes","One line","DSL","Mailed check",73,651.4,"Yes",8
"91","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",75,2303.35,"Yes",30
"92","Female","No","Yes","Yes","One line","Fiber optic","Bank transfer",101,1522.7,"No",15
"93","Female","No","No","No","One line","None","Electronic check",20,58.85,"Yes",2
"94","Male","No","Yes","Yes","None","DSL","Mailed check",59,465.7,"No",7
"95","Male","No","Yes","Yes","One line","DSL","Electronic check",54,475.1,"No",8
"96","Male","No","No","No","One line","None","Mailed check",21,113.85,"Yes",5
"97","Male","No","No","No","Two-plus lines","Fiber optic","Bank transfer",104,5036.3,"Yes",48
"98","Female","Yes","Yes","Yes","None","DSL","Mailed check",29,355.9,"No",12
"99","Male","No","Yes","Yes","One line","DSL","Credit card",55,1510.3,"No",27
"100","Female","No","No","No","One line","DSL","Electronic check",61,1982.6,"No",32
"101","Female","No","Yes","Yes","Two-plus lines","DSL","Electronic check",86,4524.05,"No",52
"102","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",95,95.45,"Yes",1
"103","Male","No","No","No","One line","DSL","Credit card",64,318.1,"No",4
"104","Female","No","Yes","No","One line","Fiber optic","Electronic check",101,842.9,"Yes",8
"105","Male","No","No","No","One line","None","Mailed check",19,86.05,"No",4
"106","Male","No","No","No","One line","Fiber optic","Electronic check",96,453.4,"Yes",4
"107","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",99,6010.05,"Yes",60
"108","Male","No","No","No","One line","None","Mailed check",20,178.8,"No",9
"109","Female","No","No","No","One line","DSL","Electronic check",49,314.6,"No",6
"110","Female","No","No","No","One line","Fiber optic","Bank transfer",89,2274.35,"Yes",25
"111","Female","No","No","No","One line","DSL","Mailed check",55,322.9,"No",5
"112","Male","No","No","No","One line","Fiber optic","Electronic check",85,888.75,"No",10
"113","Male","No","Yes","No","One line","Fiber optic","Electronic check",81,80.55,"Yes",1
"114","Female","No","Yes","Yes","One line","DSL","Credit card",59,168.6,"No",2
"115","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",100,2331.3,"Yes",23
"116","Male","No","No","No","One line","DSL","Electronic check",45,89.5,"Yes",1
"117","Male","No","No","No","One line","DSL","Mailed check",49,48.55,"Yes",1
"118","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",100,6851.65,"Yes",68
"119","Male","No","No","No","One line","Fiber optic","Electronic check",95,740.3,"Yes",7
"120","Female","No","No","No","One line","Fiber optic","Electronic check",70,70.1,"Yes",1
"121","Female","No","No","No","One line","Fiber optic","Electronic check",98,315.3,"Yes",3
"122","Female","No","Yes","No","One line","Fiber optic","Electronic check",70,330.15,"Yes",4
"123","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",81,233.7,"Yes",2
"124","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",106,4443.45,"Yes",41
"125","Female","No","No","No","One line","Fiber optic","Electronic check",89,577.6,"Yes",6
"126","Female","No","No","No","One line","None","Mailed check",20,320.45,"No",16
"127","Female","No","Yes","No","Two-plus lines","Fiber optic","Credit card",102,5885.4,"Yes",57
"128","Female","Yes","Yes","Yes","One line","Fiber optic","Electronic check",99,2911.3,"Yes",29
"129","Male","No","Yes","No","One line","DSL","Bank transfer",46,521.9,"No",11
"130","Female","No","No","Yes","One line","None","Credit card",20,471.7,"No",23
"131","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",85,3067.2,"Yes",36
"132","Male","No","No","No","Two-plus lines","Fiber optic","Credit card",108,3432.9,"Yes",31
"133","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",103,1742.5,"No",16
"134","Male","No","Yes","No","One line","Fiber optic","Electronic check",78,1468.75,"No",18
"135","Female","No","No","No","Two-plus lines","Fiber optic","Bank transfer",91,3382.3,"No",37
"136","Male","No","No","No","One line","None","Mailed check",19,46.35,"No",2
"137","Female","No","No","No","One line","DSL","Electronic check",50,50.15,"No",1
"138","Female","No","No","No","One line","DSL","Electronic check",45,122.7,"No",2
"139","Female","No","No","No","None","DSL","Electronic check",35,34.7,"Yes",1
"140","Male","No","Yes","No","One line","Fiber optic","Electronic check",94,3366.05,"No",35
"141","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",91,1943.2,"Yes",21
"142","Male","No","Yes","Yes","One line","DSL","Mailed check",58,1271.8,"No",21
"143","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",88,1460.65,"Yes",16
"144","Female","No","No","No","One line","Fiber optic","Electronic check",86,272.2,"Yes",3
"145","Male","No","No","No","One line","None","Credit card",20,198.7,"No",9
"146","Male","No","No","No","One line","DSL","Credit card",64,1398.6,"No",21
"147","Female","No","Yes","No","One line","Fiber optic","Electronic check",74,139.4,"Yes",1
"148","Female","Yes","Yes","No","One line","Fiber optic","Mailed check",70,70.45,"Yes",1
"149","Female","No","No","No","One line","None","Mailed check",19,44.4,"No",2
"150","Male","No","No","Yes","One line","DSL","Bank transfer",55,1284.2,"No",23
"151","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",95,3474.2,"No",36
"152","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Bank transfer",94,5574.75,"Yes",59
"153","Female","No","No","No","Two-plus lines","Fiber optic","Bank transfer",102,3545.35,"Yes",34
"154","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",74,229.55,"Yes",3
"155","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",96,5742.9,"Yes",59
"156","Female","No","Yes","No","One line","Fiber optic","Bank transfer",84,2674.15,"No",31
"157","Female","No","No","No","Two-plus lines","DSL","Electronic check",60,170.5,"No",2
"158","Female","No","No","No","One line","DSL","Mailed check",44,44.4,"Yes",1
"159","Male","No","Yes","No","One line","Fiber optic","Credit card",85,4297.95,"No",50
"160","Male","No","No","Yes","None","DSL","Mailed check",26,215.2,"Yes",8
"161","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",100,4036,"No",40
"162","Male","Yes","No","No","One line","DSL","Mailed check",49,447.9,"No",9
"163","Female","No","No","No","One line","None","Mailed check",21,20.9,"Yes",1
"164","Male","No","Yes","No","One line","Fiber optic","Bank transfer",87,1850.65,"No",21
"165","Male","No","No","No","Two-plus lines","DSL","Electronic check",49,749.25,"No",15
"166","Male","No","No","No","One line","Fiber optic","Mailed check",91,237.65,"No",2
"167","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",100,4707.1,"No",46
"168","Female","Yes","No","No","One line","Fiber optic","Electronic check",75,1294.6,"No",17
"169","Female","No","No","No","Two-plus lines","DSL","Mailed check",50,2139.1,"No",42
"170","Female","No","Yes","No","None","DSL","Bank transfer",45,2145,"Yes",47
"171","Male","No","No","No","Two-plus lines","Fiber optic","Bank transfer",100,2404.85,"No",24
"172","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",70,200.2,"No",2
"173","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",84,1900.25,"Yes",22
"174","Male","No","No","No","One line","None","Credit card",21,67.1,"No",3
"175","Male","No","No","No","One line","DSL","Bank transfer",57,503.25,"No",8
"176","Male","No","No","No","One line","Fiber optic","Credit card",99,2807.1,"No",28
"177","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",78,3365.85,"Yes",43
"178","Female","No","Yes","No","One line","Fiber optic","Electronic check",97,1743.05,"No",18
"179","Male","No","No","No","Two-plus lines","None","Bank transfer",25,996.45,"No",39
"180","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",97,5238.9,"Yes",54
"181","Male","No","Yes","No","Two-plus lines","Fiber optic","Bank transfer",99,5943.65,"No",59
"182","Male","No","Yes","Yes","One line","None","Mailed check",19,477.6,"No",24
"183","Female","No","No","No","One line","Fiber optic","Electronic check",70,69.5,"Yes",1
"184","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",74,1558.7,"No",21
"185","Female","No","No","No","One line","Fiber optic","Electronic check",80,79.7,"Yes",1
"186","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Bank transfer",80,343.95,"Yes",4
"187","Female","Yes","No","No","Two-plus lines","Fiber optic","Credit card",88,2467.75,"Yes",27
"188","Female","Yes","No","No","One line","Fiber optic","Credit card",76,349.65,"Yes",4
"189","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",72,135.75,"No",1
"190","Female","No","No","No","One line","Fiber optic","Mailed check",71,71.1,"Yes",1
"191","Male","No","No","Yes","One line","Fiber optic","Mailed check",70,70.45,"Yes",1
"192","Female","Yes","No","No","One line","None","Mailed check",20,459.95,"No",22
"193","Female","No","No","No","One line","DSL","Electronic check",54,308.25,"Yes",5
"194","Female","No","Yes","Yes","One line","None","Mailed check",20,442.6,"No",21
"195","Female","No","No","No","One line","Fiber optic","Mailed check",71,70.75,"Yes",1
"196","Female","Yes","No","No","None","DSL","Electronic check",50,2566.3,"No",50
"197","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",85,2624.25,"Yes",30
"198","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",76,1146.65,"Yes",15
"199","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",74,4052.4,"No",54
"200","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",85,4874.7,"Yes",57
"201","Female","No","Yes","No","One line","None","Mailed check",20,563.05,"No",27
"202","Male","Yes","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",80,1857.75,"No",23
"203","Female","No","Yes","No","One line","DSL","Mailed check",62,113.1,"No",1
"204","Male","No","No","Yes","One line","None","Credit card",21,235.8,"No",11
"205","Male","No","No","No","One line","DSL","Mailed check",73,931.55,"No",12
"206","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",96,829.1,"Yes",8
"207","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",96,1916.2,"No",20
"208","Female","No","No","No","One line","DSL","Electronic check",61,438.9,"No",7
"209","Male","No","Yes","Yes","Two-plus lines","None","Bank transfer",26,135,"Yes",5
"210","Female","No","No","No","One line","Fiber optic","Electronic check",81,653.9,"No",8
"211","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",96,2510.2,"Yes",26
"212","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",91,1374.9,"No",15
"213","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",83,1845.9,"Yes",22
"214","Female","Yes","No","No","One line","Fiber optic","Electronic check",73,317.75,"No",4
"215","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",89,2072.75,"No",23
"216","Female","No","No","No","Two-plus lines","DSL","Bank transfer",78,1837.9,"No",23
"217","Male","No","Yes","No","One line","Fiber optic","Electronic check",80,3168.75,"No",39
"218","Female","No","No","No","One line","DSL","Electronic check",50,365.55,"Yes",7
"219","Male","No","Yes","Yes","One line","None","Mailed check",20,252,"No",12
"220","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",92,5960.5,"No",64
"221","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",100,6283.3,"Yes",62
"222","Female","No","Yes","No","One line","Fiber optic","Bank transfer",70,1540.35,"No",22
"223","Male","No","Yes","No","None","DSL","Electronic check",46,667.7,"Yes",14
"224","Male","No","No","Yes","One line","DSL","Mailed check",70,837.5,"No",11
"225","Male","No","Yes","No","One line","Fiber optic","Mailed check",89,1820.45,"Yes",20
"226","Female","Yes","No","No","None","DSL","Electronic check",25,25.25,"Yes",1
"227","Male","Yes","Yes","No","None","DSL","Electronic check",25,25.05,"Yes",1
"228","Male","No","No","Yes","Two-plus lines","Fiber optic","Credit card",75,3678.3,"Yes",48
"229","Male","No","No","Yes","One line","Fiber optic","Bank transfer",75,2068.55,"Yes",27
"230","Female","No","No","No","One line","Fiber optic","Mailed check",82,1028.9,"No",12
"231","Male","No","Yes","Yes","One line","None","Mailed check",19,84.2,"No",4
"232","Female","No","Yes","No","Two-plus lines","Fiber optic","Bank transfer",82,5029.05,"No",61
"233","Male","No","No","No","One line","DSL","Electronic check",46,402.6,"Yes",8
"234","Female","No","No","No","One line","DSL","Bank transfer",48,48.45,"No",1
"235","Female","Yes","No","No","None","DSL","Electronic check",42,840.1,"Yes",20
"236","Female","No","No","No","Two-plus lines","Fiber optic","Bank transfer",90,2169.8,"Yes",24
"237","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",76,162.45,"Yes",2
"238","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",84,1095.3,"Yes",13
"239","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",96,1555.65,"Yes",16
"240","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",103,6886.25,"Yes",66
"241","Male","No","No","No","One line","Fiber optic","Mailed check",82,214.4,"No",2
"242","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",80,3825.85,"Yes",47
"243","Male","Yes","No","No","One line","Fiber optic","Electronic check",71,293.85,"No",4
"244","Female","Yes","No","No","One line","Fiber optic","Electronic check",74,1359.45,"No",18
"245","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",104,2157.95,"Yes",20
"246","Male","No","No","No","Two-plus lines","Fiber optic","Bank transfer",98,713,"Yes",7
"247","Male","No","No","No","One line","DSL","Bank transfer",49,1323.7,"No",27
"248","Female","Yes","No","No","None","DSL","Mailed check",26,25.8,"Yes",1
"249","Male","Yes","Yes","No","One line","Fiber optic","Credit card",85,2874.45,"No",33
"250","Female","No","Yes","No","None","DSL","Electronic check",28,629.35,"No",22
"251","Female","No","No","No","One line","None","Mailed check",20,20.25,"No",1
"252","Male","No","No","No","One line","None","Mailed check",20,20.45,"No",1
"253","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",94,2970.8,"No",31
"254","Female","No","No","No","One line","DSL","Electronic check",55,54.65,"No",1
"255","Female","Yes","Yes","Yes","One line","Fiber optic","Electronic check",69,69.25,"Yes",1
"256","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",101,1504.05,"Yes",14
"257","Female","No","Yes","No","One line","Fiber optic","Electronic check",86,1818.9,"No",21
"258","Male","No","Yes","No","One line","Fiber optic","Electronic check",95,95,"Yes",1
"259","Female","Yes","No","No","One line","Fiber optic","Electronic check",71,154.85,"Yes",2
"260","Female","No","Yes","Yes","One line","Fiber optic","Bank transfer",86,4433.3,"No",51
"261","Male","No","No","No","One line","Fiber optic","Electronic check",83,1060.6,"Yes",12
"262","Male","No","No","No","One line","None","Mailed check",20,67.55,"No",3
"263","Male","No","No","Yes","One line","DSL","Electronic check",54,1312.45,"No",24
"264","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",86,338.9,"Yes",3
"265","Female","No","Yes","No","None","DSL","Bank transfer",59,3437.45,"No",58
"266","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",95,4613.95,"No",48
"267","Male","No","No","No","One line","DSL","Bank transfer",68,576.95,"No",8
"268","Male","No","No","Yes","Two-plus lines","Fiber optic","Electronic check",102,364.55,"Yes",3
"269","Male","No","Yes","No","Two-plus lines","DSL","Electronic check",66,902.25,"No",13
"270","Female","No","No","No","Two-plus lines","DSL","Mailed check",65,2157.5,"No",33
"271","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",75,622.9,"Yes",8
"272","Female","No","No","No","Two-plus lines","DSL","Mailed check",62,713.75,"Yes",11
"273","Female","No","No","No","One line","Fiber optic","Electronic check",100,715,"No",7
"274","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",75,321.75,"Yes",4
"275","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",74,74.45,"Yes",1
"276","Male","No","Yes","No","One line","Fiber optic","Electronic check",80,741.7,"Yes",9
"277","Male","No","No","No","Two-plus lines","Fiber optic","Credit card",94,2679.7,"No",28
"278","Male","No","No","No","Two-plus lines","DSL","Bank transfer",56,1400.55,"Yes",25
"279","Male","No","No","Yes","One line","DSL","Mailed check",71,225.65,"No",3
"280","Male","No","Yes","No","One line","DSL","Mailed check",50,179.35,"Yes",3
"281","Female","No","No","No","One line","Fiber optic","Electronic check",82,82.3,"Yes",1
"282","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",87,5327.25,"No",61
"283","Male","No","No","No","None","DSL","Electronic check",25,56.35,"Yes",2
"284","Female","Yes","Yes","No","None","DSL","Electronic check",45,528.45,"No",11
"285","Male","No","No","No","One line","None","Mailed check",21,141.1,"No",6
"286","Male","No","No","No","One line","Fiber optic","Electronic check",96,197.7,"Yes",2
"287","Female","No","No","No","One line","None","Electronic check",19,19.3,"Yes",1
"288","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",113,1882.55,"No",16
"289","Male","No","No","No","One line","Fiber optic","Mailed check",88,262.05,"Yes",2
"290","Male","No","Yes","Yes","Two-plus lines","DSL","Bank transfer",65,723.35,"No",11
"291","Male","No","No","No","None","DSL","Credit card",35,296.1,"Yes",8
"292","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",100,918.6,"Yes",9
"293","Male","Yes","No","No","None","DSL","Mailed check",39,679.85,"Yes",17
"294","Male","No","No","No","One line","None","Credit card",21,330.25,"No",16
"295","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",80,319.85,"No",3
"296","Female","No","Yes","Yes","One line","DSL","Electronic check",46,639.45,"No",13
"297","Female","No","No","Yes","None","DSL","Electronic check",25,321.05,"No",12
"298","Female","No","No","Yes","One line","DSL","Mailed check",55,154.65,"Yes",2
"299","Female","No","No","Yes","None","DSL","Electronic check",30,382.2,"No",12
"300","Male","Yes","Yes","No","One line","Fiber optic","Mailed check",71,70.85,"Yes",1
"301","Male","No","No","No","One line","None","Mailed check",21,44.2,"No",2
"302","Male","No","No","No","One line","DSL","Electronic check",76,75.5,"No",1
"303","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",81,2122.05,"Yes",26
"304","Male","No","Yes","Yes","Two-plus lines","DSL","Mailed check",67,1077.05,"No",16
"305","Female","No","No","No","None","DSL","Electronic check",35,62.25,"Yes",1
"306","Female","Yes","Yes","No","Two-plus lines","DSL","Electronic check",84,2310.2,"No",27
"307","Male","Yes","No","No","None","DSL","Electronic check",49,2550.9,"Yes",51
"308","Female","No","No","No","One line","Fiber optic","Bank transfer",89,1871.15,"No",20
"309","Male","No","Yes","No","None","DSL","Mailed check",41,328.95,"Yes",8
"310","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",75,564.65,"No",7
"311","Male","No","No","No","None","DSL","Electronic check",36,35.55,"Yes",1
"312","Female","No","No","No","One line","DSL","Bank transfer",45,2168.9,"No",48
"313","Male","No","No","No","Two-plus lines","Fiber optic","Bank transfer",85,4517.25,"Yes",52
"314","Female","No","Yes","No","One line","Fiber optic","Bank transfer",95,1461.15,"No",15
"315","Female","No","No","No","One line","DSL","Electronic check",59,955.15,"No",16
"316","Male","No","No","No","One line","DSL","Mailed check",61,414.1,"No",6
"317","Male","No","No","No","One line","DSL","Bank transfer",75,392.65,"No",5
"318","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",82,1592.35,"Yes",19
"319","Female","Yes","Yes","No","One line","Fiber optic","Credit card",86,2067,"No",24
"320","Female","No","No","No","One line","DSL","Credit card",54,259.8,"Yes",4
"321","Female","No","No","No","One line","None","Mailed check",20,39.25,"No",1
"322","Male","No","Yes","No","Two-plus lines","Fiber optic","Credit card",102,1359,"Yes",13
"323","Male","No","No","No","Two-plus lines","DSL","Bank transfer",66,1111.2,"No",16
"324","Female","No","No","No","One line","Fiber optic","Electronic check",80,723.4,"Yes",9
"325","Female","Yes","No","No","One line","Fiber optic","Credit card",85,865.55,"Yes",10
"326","Female","No","No","No","One line","Fiber optic","Credit card",85,425.9,"Yes",4
"327","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",86,4922.4,"No",56
"328","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",101,385.9,"Yes",3
"329","Female","No","No","No","One line","None","Mailed check",20,31.55,"Yes",1
