"","is_senior_citizen","monthly_charges","total_charges","churn","payment_type_Bank transfer (automatic)","payment_type_Credit card (automatic)","payment_type_Electronic check","phone_service_1","phone_service_2","internet_service_1","internet_service_2","tenure"
"148",1,70.45,70.45,1,0,0,0,1,0,0,1,1
"149",0,19.3,44.4,0,0,0,0,1,0,0,0,2
"150",0,55.3,1284.2,0,1,0,0,1,0,1,0,23
"151",0,95.4,3474.2,0,0,0,1,0,1,0,1,36
"152",1,93.85,5574.75,1,1,0,0,0,1,0,1,59
"153",0,101.9,3545.35,1,1,0,0,0,1,0,1,34
"154",0,74.4,229.55,1,0,0,1,0,1,0,1,3
"155",0,95.75,5742.9,1,0,0,1,0,1,0,1,59
"156",0,83.85,2674.15,0,1,0,0,1,0,0,1,31
"157",0,60.25,170.5,0,0,0,1,0,1,1,0,2
"158",0,44.4,44.4,1,0,0,0,1,0,1,0,1
"159",0,85.3,4297.95,0,0,1,0,1,0,0,1,50
"160",0,25.5,215.2,1,0,0,0,0,0,1,0,8
"161",1,99.75,4036,0,0,0,1,0,1,0,1,40
"162",1,49.2,447.9,0,0,0,0,1,0,1,0,9
"163",0,20.9,20.9,1,0,0,0,1,0,0,0,1
"164",0,87,1850.65,0,1,0,0,1,0,0,1,21
"165",0,49,749.25,0,0,0,1,0,1,1,0,15
"166",0,90.7,237.65,0,0,0,0,1,0,0,1,2
"167",0,100.5,4707.1,0,0,0,1,0,1,0,1,46
"168",1,74.7,1294.6,0,0,0,1,1,0,0,1,17
"169",0,50.15,2139.1,0,0,0,0,0,1,1,0,42
"170",0,45.3,2145,1,1,0,0,0,0,1,0,47
"171",0,99.65,2404.85,0,1,0,0,0,1,0,1,24
"172",0,69.55,200.2,0,0,0,1,1,0,0,1,2
"173",0,83.8,1900.25,1,0,0,1,1,0,0,1,22
"174",0,20.75,67.1,0,0,1,0,1,0,0,0,3
"175",0,56.75,503.25,0,1,0,0,1,0,1,0,8
"176",0,98.8,2807.1,0,0,1,0,1,0,0,1,28
"177",0,77.85,3365.85,1,0,0,1,0,1,0,1,43
"178",0,96.8,1743.05,0,0,0,1,1,0,0,1,18
"179",0,25.25,996.45,0,1,0,0,0,1,0,0,39
"180",0,96.75,5238.9,1,0,0,1,0,1,0,1,54
"181",0,99.4,5943.65,0,1,0,0,0,1,0,1,59
"182",0,19.15,477.6,0,0,0,0,1,0,0,0,24
"183",0,69.5,69.5,1,0,0,1,1,0,0,1,1
"184",0,73.7,1558.7,0,0,0,1,0,1,0,1,21
"185",0,79.7,79.7,1,0,0,1,1,0,0,1,1
"186",1,79.9,343.95,1,1,0,0,0,1,0,1,4
"187",1,88.3,2467.75,1,0,1,0,0,1,0,1,27
"188",1,75.55,349.65,1,0,1,0,1,0,0,1,4
"189",0,71.65,135.75,0,0,0,1,1,0,0,1,1
"190",0,71.1,71.1,1,0,0,0,1,0,0,1,1
"191",0,70.45,70.45,1,0,0,0,1,0,0,1,1
"192",1,20.3,459.95,0,0,0,0,1,0,0,0,22
"193",0,54.2,308.25,1,0,0,1,1,0,1,0,5
"194",0,20.35,442.6,0,0,0,0,1,0,0,0,21
"195",0,70.75,70.75,1,0,0,0,1,0,0,1,1
"196",1,50.5,2566.3,0,0,0,1,0,0,1,0,50
"197",0,85,2624.25,1,0,0,1,0,1,0,1,30
"198",1,75.65,1146.65,1,0,0,1,0,1,0,1,15
"199",1,74,4052.4,0,0,0,1,0,1,0,1,54
"200",1,85.45,4874.7,1,0,0,1,0,1,0,1,57
"201",0,20.5,563.05,0,0,0,0,1,0,0,0,27
"202",1,79.85,1857.75,0,0,0,1,0,1,0,1,23
"203",0,62.15,113.1,0,0,0,0,1,0,1,0,1
"204",0,21.05,235.8,0,0,1,0,1,0,0,0,11
"205",0,73.35,931.55,0,0,0,0,1,0,1,0,12
"206",0,95.5,829.1,1,0,0,1,0,1,0,1,8
"207",0,95.5,1916.2,0,1,0,0,0,1,0,1,20
"208",0,61.4,438.9,0,0,0,1,1,0,1,0,7
"209",0,25.9,135,1,1,0,0,0,1,0,0,5
"210",0,80.55,653.9,0,0,0,1,1,0,0,1,8
"211",1,95.55,2510.2,1,0,0,1,0,1,0,1,26
"212",0,90.7,1374.9,0,0,0,1,0,1,0,1,15
"213",0,83.3,1845.9,1,0,0,1,1,0,0,1,22
"214",1,72.75,317.75,0,0,0,1,1,0,0,1,4
"215",0,88.95,2072.75,0,0,1,0,0,1,0,1,23
"216",0,78.35,1837.9,0,1,0,0,0,1,1,0,23
"217",0,80,3168.75,0,0,0,1,1,0,0,1,39
"218",0,49.85,365.55,1,0,0,1,1,0,1,0,7
"219",0,19.85,252,0,0,0,0,1,0,0,0,12
"220",0,91.8,5960.5,0,0,0,1,0,1,0,1,64
"221",0,100.15,6283.3,1,0,0,1,1,0,0,1,62
"222",0,69.8,1540.35,0,1,0,0,1,0,0,1,22
"223",0,46.35,667.7,1,0,0,1,0,0,1,0,14
"224",0,69.85,837.5,0,0,0,0,1,0,1,0,11
"225",0,89,1820.45,1,0,0,0,1,0,0,1,20
"226",1,25.25,25.25,1,0,0,1,0,0,1,0,1
"227",1,25.05,25.05,1,0,0,1,0,0,1,0,1
"228",0,75.2,3678.3,1,0,1,0,0,1,0,1,48
"229",0,74.9,2068.55,1,1,0,0,1,0,0,1,27
"230",0,81.9,1028.9,0,0,0,0,1,0,0,1,12
"231",0,18.85,84.2,0,0,0,0,1,0,0,0,4
"232",0,81.55,5029.05,0,1,0,0,0,1,0,1,61
"233",0,45.55,402.6,1,0,0,1,1,0,1,0,8
"234",0,48.45,48.45,0,1,0,0,1,0,1,0,1
"235",1,41.9,840.1,1,0,0,1,0,0,1,0,20
"236",0,90.05,2169.8,1,1,0,0,0,1,0,1,24
"237",0,76.5,162.45,1,0,0,1,0,1,0,1,2
"238",0,84.05,1095.3,1,0,0,1,1,0,0,1,13
"239",0,95.6,1555.65,1,0,1,0,0,1,0,1,16
"240",0,102.95,6886.25,1,0,1,0,0,1,0,1,66
"241",0,82.3,214.4,0,0,0,0,1,0,0,1,2
"242",1,80.35,3825.85,1,0,0,1,0,1,0,1,47
"243",1,70.65,293.85,0,0,0,1,1,0,0,1,4
"244",1,73.55,1359.45,0,0,0,1,1,0,0,1,18
"245",0,104.4,2157.95,1,0,0,1,0,1,0,1,20
"246",0,98.05,713,1,1,0,0,0,1,0,1,7
"247",0,48.95,1323.7,0,1,0,0,1,0,1,0,27
"248",1,25.8,25.8,1,0,0,0,0,0,1,0,1
"249",1,85.2,2874.45,0,0,1,0,1,0,0,1,33
"250",0,28.5,629.35,0,0,0,1,0,0,1,0,22
"251",0,20.25,20.25,0,0,0,0,1,0,0,0,1
"252",0,20.45,20.45,0,0,0,0,1,0,0,0,1
"253",1,93.5,2970.8,0,0,0,1,0,1,0,1,31
"254",0,54.65,54.65,0,0,0,1,1,0,1,0,1
"255",1,69.25,69.25,1,0,0,1,1,0,0,1,1
"256",0,101.1,1504.05,1,0,0,1,0,1,0,1,14
"257",0,86.05,1818.9,0,0,0,1,1,0,0,1,21
"258",0,95,95,1,0,0,1,1,0,0,1,1
"259",1,70.75,154.85,1,0,0,1,1,0,0,1,2
"260",0,85.8,4433.3,0,1,0,0,1,0,0,1,51
"261",0,83.2,1060.6,1,0,0,1,1,0,0,1,12
"262",0,19.65,67.55,0,0,0,0,1,0,0,0,3
"263",0,54.15,1312.45,0,0,0,1,1,0,1,0,24
"264",0,85.65,338.9,1,0,0,1,0,1,0,1,3
"265",0,58.75,3437.45,0,1,0,0,0,0,1,0,58
"266",0,95.4,4613.95,0,1,0,0,0,1,0,1,48
"267",0,68.25,576.95,0,1,0,0,1,0,1,0,8
"268",0,101.7,364.55,1,0,0,1,0,1,0,1,3
"269",0,65.85,902.25,0,0,0,1,0,1,1,0,13
"270",0,65,2157.5,0,0,0,0,0,1,1,0,33
"271",1,74.55,622.9,1,0,0,1,0,1,0,1,8
"272",0,61.65,713.75,1,0,0,0,0,1,1,0,11
"273",0,100.4,715,0,0,0,1,1,0,0,1,7
"274",1,74.9,321.75,1,0,0,1,0,1,0,1,4
"275",1,74.45,74.45,1,0,0,1,0,1,0,1,1
"276",0,79.9,741.7,1,0,0,1,1,0,0,1,9
"277",0,94.3,2679.7,0,0,1,0,0,1,0,1,28
"278",0,55.65,1400.55,1,1,0,0,0,1,1,0,25
"279",0,70.7,225.65,0,0,0,0,1,0,1,0,3
"280",0,50.05,179.35,1,0,0,0,1,0,1,0,3
"281",0,82.3,82.3,1,0,0,1,1,0,0,1,1
"282",0,86.8,5327.25,0,1,0,0,0,1,0,1,61
"283",0,25.05,56.35,1,0,0,1,0,0,1,0,2
"284",1,45.3,528.45,0,0,0,1,0,0,1,0,11
"285",0,20.75,141.1,0,0,0,0,1,0,0,0,6
"286",0,95.85,197.7,1,0,0,1,1,0,0,1,2
"287",0,19.3,19.3,1,0,0,1,1,0,0,0,1
"288",0,112.95,1882.55,0,0,0,1,0,1,0,1,16
"289",0,88.35,262.05,1,0,0,0,1,0,0,1,2
"290",0,65.15,723.35,0,1,0,0,0,1,1,0,11
"291",0,34.7,296.1,1,0,1,0,0,0,1,0,8
"292",1,100.5,918.6,1,0,0,1,0,1,0,1,9
"293",1,39,679.85,1,0,0,0,0,0,1,0,17
"294",0,20.6,330.25,0,0,1,0,1,0,0,0,16
"295",0,80.15,319.85,0,0,0,1,0,1,0,1,3
"296",0,46.3,639.45,0,0,0,1,1,0,1,0,13
"297",0,25.2,321.05,0,0,0,1,0,0,1,0,12
"298",0,55.1,154.65,1,0,0,0,1,0,1,0,2
"299",0,30.15,382.2,0,0,0,1,0,0,1,0,12
"300",1,70.85,70.85,1,0,0,0,1,0,0,1,1
"301",0,20.75,44.2,0,0,0,0,1,0,0,0,2
"302",0,75.5,75.5,0,0,0,1,1,0,1,0,1
"303",1,81.45,2122.05,1,0,0,1,0,1,0,1,26
"304",0,66.7,1077.05,0,0,0,0,0,1,1,0,16
"305",0,34.7,62.25,1,0,0,1,0,0,1,0,1
"306",1,83.85,2310.2,0,0,0,1,0,1,1,0,27
"307",1,49.15,2550.9,1,0,0,1,0,0,1,0,51
"308",0,89.4,1871.15,0,1,0,0,1,0,0,1,20
"309",0,40.65,328.95,1,0,0,0,0,0,1,0,8
"310",0,75.35,564.65,0,0,0,1,0,1,0,1,7
"311",0,35.55,35.55,1,0,0,1,0,0,1,0,1
"312",0,44.95,2168.9,0,1,0,0,1,0,1,0,48
"313",0,85.45,4517.25,1,1,0,0,0,1,0,1,52
"314",0,94.65,1461.15,0,1,0,0,1,0,0,1,15
"315",0,58.95,955.15,0,0,0,1,1,0,1,0,16
"316",0,60.9,414.1,0,0,0,0,1,0,1,0,6
"317",0,75.15,392.65,0,1,0,0,1,0,1,0,5
"318",0,82.4,1592.35,1,0,0,1,0,1,0,1,19
"319",1,85.7,2067,0,0,1,0,1,0,0,1,24
"320",0,53.85,259.8,1,0,1,0,1,0,1,0,4
"321",0,20.05,39.25,0,0,0,0,1,0,0,0,1
"322",0,102.25,1359,1,0,1,0,0,1,0,1,13
"323",0,65.75,1111.2,0,1,0,0,0,1,1,0,16
"324",0,79.55,723.4,1,0,0,1,1,0,0,1,9
"325",1,84.6,865.55,1,0,1,0,1,0,0,1,10
"326",0,85.4,425.9,1,0,1,0,1,0,0,1,4
"327",0,86.4,4922.4,0,0,0,1,0,1,0,1,56
"328",0,101.15,385.9,1,0,0,1,0,1,0,1,3
"329",0,19.5,31.55,1,0,0,0,1,0,0,0,1
"330",1,101.25,2754.45,1,0,0,1,1,0,0,1,27
"331",0,45.7,45.7,1,0,0,0,1,0,1,0,1
"332",0,104.3,5278.15,1,0,0,1,0,1,0,1,50
"333",0,99.5,1056.95,1,0,0,1,0,1,0,1,10
"334",0,100.85,3527.3,0,0,0,1,0,1,0,1,34
"335",0,105.35,5794.45,0,0,0,0,0,1,0,1,55
"336",0,29.8,201.95,0,0,0,0,0,0,1,0,6
"337",0,85.5,4713.4,0,1,0,0,0,1,0,1,55
"338",1,95.8,1346.3,0,0,0,1,0,1,0,1,14
"339",0,83.05,1799.3,0,0,0,1,0,1,0,1,21
"340",0,83.75,247.25,1,0,0,1,1,0,0,1,2
"341",1,89.45,5294.6,0,0,0,1,0,1,0,1,59
"342",0,75.25,242,1,0,0,1,0,1,0,1,3
"343",0,19.55,19.55,0,0,0,0,1,0,0,0,1
"344",0,74.65,544.55,1,0,0,0,1,0,0,1,7
"345",1,29.9,118.25,0,0,0,1,0,0,1,0,3
"346",0,80.5,1011.8,0,0,0,1,1,0,0,1,12
"347",0,50.15,160.85,0,0,0,0,1,0,1,0,3
"348",1,89.6,5538.8,0,1,0,0,0,1,0,1,61
"349",0,53.45,718.1,0,0,0,0,1,0,1,0,13
"350",0,100.25,3527.6,1,0,0,1,0,1,0,1,35
"351",0,80.7,788.8,1,1,0,0,0,1,0,1,9
"352",0,92.95,4122.9,0,1,0,0,1,0,0,1,44
"353",1,98.7,5812.6,1,0,0,1,0,1,0,1,58
"354",0,80.3,526.7,1,0,0,0,1,0,0,1,6
"355",1,73.65,1463.5,1,0,0,1,1,0,0,1,19
"356",0,98.15,1230.25,1,0,0,0,0,1,0,1,12
"357",0,35.5,432.25,0,0,0,0,0,0,1,0,12
"358",0,69.9,497.3,0,0,0,0,1,0,0,1,7
"359",0,96.2,3183.4,1,0,0,1,1,0,0,1,33
"360",0,70.8,70.8,1,0,0,0,1,0,0,1,1
"361",0,89.55,89.55,1,0,0,1,1,0,0,1,1
"362",0,19.65,19.65,0,0,0,0,1,0,0,0,1
"363",0,29.2,98.5,0,0,0,0,0,0,1,0,3
"364",0,99.45,7007.6,1,0,1,0,0,1,0,1,70
"365",0,50.85,2036.55,0,0,0,1,0,0,1,0,40
"366",0,54.2,140.4,0,0,0,1,1,0,1,0,2
"367",0,49.4,874.8,1,0,0,1,1,0,1,0,17
"368",0,48.8,953.65,0,0,0,0,1,0,1,0,19
"369",1,45.75,344.2,0,0,0,0,1,0,1,0,7
"370",0,20.1,20.1,1,0,0,0,1,0,0,0,1
"371",0,20,137.6,1,1,0,0,1,0,0,0,6
"372",0,96.5,492.55,1,1,0,0,1,0,0,1,5
"373",1,100.8,6690.75,0,0,0,1,0,1,0,1,66
"374",0,19.05,19.05,0,0,0,0,1,0,0,0,1
"375",1,69.7,572.85,0,0,0,1,1,0,0,1,8
"376",0,90.55,5116.6,0,0,0,1,0,1,0,1,56
"377",0,24.8,24.8,1,0,0,1,0,0,1,0,1
"378",0,74.95,825.7,1,0,0,1,0,1,0,1,11
"379",0,69.05,1815.65,0,0,1,0,1,0,0,1,26
"380",1,101.5,2917.65,0,0,0,1,0,1,0,1,28
"381",0,19.55,19.55,1,0,0,0,1,0,0,0,1
"382",0,70.85,70.85,1,0,0,1,1,0,0,1,1
"383",1,103.5,6479.4,0,0,0,1,0,1,0,1,62
"384",0,79.05,4663.4,0,0,1,0,1,0,1,0,58
"385",0,20.6,414.95,0,0,0,0,1,0,0,0,20
"386",0,70.25,2868.05,1,1,0,0,1,0,0,1,40
"387",0,21.05,139.75,0,0,1,0,1,0,0,0,6
"388",0,70.55,1493.55,0,0,1,0,1,0,0,1,21
"389",0,35.65,646.05,0,0,1,0,0,0,1,0,18
"390",0,19.6,780.25,0,0,0,0,1,0,0,0,39
"391",0,19.5,27.55,0,0,0,0,1,0,0,0,1
"392",0,19.65,391.7,0,0,0,0,1,0,0,0,19
"393",0,109.6,5953,0,0,0,0,0,1,0,1,54
"394",0,69.9,69.9,1,0,0,0,1,0,0,1,1
"395",0,20.15,20.15,1,0,0,0,1,0,0,0,1
"396",1,85.05,85.05,1,0,0,1,0,1,0,1,1
"397",0,108.25,5935.1,0,1,0,0,1,0,0,1,54
"398",1,98.75,1587.55,1,0,0,1,0,1,0,1,16
"399",0,71.05,472.65,0,0,0,1,1,0,0,1,6
"400",1,30.75,82.85,0,0,0,1,0,0,1,0,2
"401",0,69.75,69.75,1,1,0,0,1,0,0,1,1
"402",0,69.1,69.1,1,0,0,0,1,0,0,1,1
"403",0,19.6,59.75,1,0,0,0,1,0,0,0,3
"404",1,54.55,601.25,0,0,0,1,1,0,1,0,11
"405",0,76.65,1313.55,1,0,0,1,1,0,0,1,17
"406",1,95.05,4504.55,1,0,0,1,0,1,0,1,47
"407",0,54.55,2455.05,0,0,1,0,1,0,1,0,45
"408",0,19.25,19.25,0,1,0,0,1,0,0,0,1
"409",0,49.8,836.35,0,0,0,0,0,0,1,0,16
"410",0,51.1,711.15,0,0,0,1,0,1,1,0,13
"411",0,64.4,1802.15,0,0,0,1,0,1,1,0,27
"412",1,105.8,2998,0,0,0,1,0,1,0,1,28
"413",0,108.25,6780.1,0,0,1,0,0,1,0,1,62
"414",1,89.85,1424.95,1,0,0,1,0,1,0,1,15
"415",0,55,3092.65,1,0,1,0,0,1,1,0,56
"416",0,53.9,834.15,1,0,0,0,1,0,1,0,15
"417",0,70.65,70.65,1,0,0,0,1,0,0,1,1
"418",1,43.8,2106.05,0,0,0,0,1,0,1,0,48
"419",0,53.8,1389.85,0,0,0,1,1,0,1,0,25
"420",0,19.85,19.85,0,0,0,0,1,0,0,0,1
"421",0,24.8,475.25,0,0,0,0,0,1,0,0,19
"422",0,29.85,75.6,1,1,0,0,0,0,1,0,2
"423",0,85.7,169.8,1,0,0,1,0,1,0,1,1
"424",0,19.75,19.75,0,0,0,1,1,0,0,0,1
"425",0,74.95,74.95,1,0,0,1,0,1,0,1,1
"426",0,20.4,321.4,0,0,0,1,1,0,0,0,15
"427",0,74.55,3023.55,0,0,1,0,0,1,1,0,40
"428",0,88.8,1672.35,0,0,1,0,0,1,0,1,18
"429",0,85.4,5869.4,0,1,0,0,0,1,0,1,68
"430",0,25.4,1139.2,0,0,0,1,0,1,0,0,44
"431",0,90.15,2423.4,0,1,0,0,0,1,0,1,26
"432",0,89.2,990.3,0,0,0,1,0,1,0,1,11
"433",0,79.95,857.2,1,0,0,1,1,0,0,1,10
"434",0,83.9,3233.6,1,0,1,0,1,0,0,1,38
"435",0,95,2462.55,0,0,1,0,0,1,0,1,25
"436",0,19.65,19.65,0,1,0,0,1,0,0,0,1
"437",0,91.1,1135.7,1,0,0,1,1,0,0,1,12
"438",0,73.6,520,1,0,0,1,0,1,0,1,7
"439",1,74.45,294.45,0,0,0,1,0,1,0,1,3
"440",1,85.2,695.75,0,0,0,1,0,1,0,1,8
