"","is_senior_citizen","churn","payment_type_Electronic check","phone_service_0","phone_service_1","internet_service_0","internet_service_1","tenure"
"74",0,1,1,0,0,0,1,4.73276776246023
"75",1,0,1,0,1,0,1,2.01580135440181
"76",0,0,1,0,1,0,0,2.78825622775801
"77",0,0,1,0,0,0,1,19.2208228379513
"78",0,1,1,0,1,0,0,1
"79",0,1,0,0,1,0,0,1
"80",0,1,1,0,0,0,0,15.4756293519014
"81",0,0,0,0,0,0,0,49.3005015959872
"82",0,0,0,0,0,0,0,45.6688427299703
"83",0,0,0,0,1,1,0,1
"84",0,0,1,0,0,0,1,1
"85",0,1,1,0,1,0,0,27.4780999383097
"86",0,0,0,0,0,0,1,32.7550040032026
"87",1,1,0,0,1,0,0,25.65625
"88",0,0,1,0,1,0,0,2.9695796460177
"89",0,1,1,0,0,0,0,2.11908931698774
"90",0,1,0,0,1,0,1,8.93552812071331
"91",1,1,1,0,0,0,0,30.7523364485981
"92",0,0,0,0,1,0,0,15.1211519364449
"93",0,1,1,0,1,1,0,2.97974683544304
"94",0,0,0,1,0,0,1,7.91333899745115
"95",0,0,1,0,1,0,1,8.73345588235294
"96",0,1,0,0,1,1,0,5.40855106888361
"97",0,1,0,0,0,0,0,48.566055930569
"98",1,0,0,1,0,0,1,12.1467576791809
"99",0,0,0,0,1,0,1,27.5853881278539
"100",0,0,1,0,1,0,1,32.7431874483898
"101",0,0,1,0,0,0,1,52.4831786542923
"102",0,1,1,0,0,0,0,1
"103",0,0,0,0,1,0,1,4.97419859265051
"104",0,1,1,0,1,0,0,8.33316856154226
"105",0,0,0,0,1,1,0,4.47012987012987
"106",0,1,1,0,1,0,0,4.71800208116545
"107",0,1,1,0,0,0,0,60.6157337367625
"108",0,0,0,0,1,1,0,9.00755667506297
"109",0,0,1,0,1,0,1,6.36198179979778
"110",0,1,0,0,1,0,0,25.6120495495495
"111",0,0,0,0,1,0,1,5.85494106980961
"112",0,0,1,0,1,0,0,10.4805424528302
"113",0,1,1,0,1,0,0,1
"114",0,0,0,0,1,0,1,2.87223168654174
"115",0,1,1,0,1,0,0,23.3480220330496
"116",0,1,1,0,1,0,1,1.97353914002205
"117",0,1,0,0,1,0,1,1
"118",1,1,1,0,0,0,0,68.3797405189621
"119",0,1,1,0,1,0,0,7.81731784582893
"120",0,1,1,0,1,0,0,1
"121",0,1,1,0,1,0,0,3.22063329928498
"122",0,1,1,0,1,0,0,4.71979985704074
"123",1,1,1,0,0,0,0,2.87277197295636
"124",0,1,1,0,0,0,0,41.8010348071496
"125",0,1,1,0,1,0,0,6.46808510638298
"126",0,0,0,0,1,1,0,16.1030150753769
"127",0,1,0,0,0,0,0,57.643486777669
"128",1,1,1,0,1,0,0,29.4368048533873
"129",0,0,0,0,1,0,1,11.3703703703704
"130",0,0,0,0,1,1,0,23.5261845386534
"131",0,1,1,0,0,0,0,36.1272084805654
"132",0,1,0,0,0,0,0,31.7420249653259
"133",0,0,1,0,0,0,0,16.991711360312
"134",0,0,1,0,1,0,0,18.7819693094629
"135",0,0,0,0,0,0,0,37.0866228070175
"136",0,0,0,0,1,1,0,2.3953488372093
"137",0,0,1,0,1,0,1,1
"138",0,0,1,0,1,0,1,2.75112107623318
"139",0,1,1,1,0,0,1,1
"140",0,0,1,0,1,0,0,35.9620726495727
"141",0,1,1,0,0,0,0,21.4481236203091
"142",0,0,0,0,1,0,1,21.946505608283
"143",0,1,1,0,0,0,0,16.5512747875354
"144",0,1,1,0,1,0,0,3.17249417249417
"145",0,0,0,0,1,1,0,9.935
"146",0,0,0,0,1,0,1,21.7173913043478
"147",0,1,1,0,1,0,0,1.87365591397849
"148",1,1,0,0,1,0,0,1
"149",0,0,0,0,1,1,0,2.30051813471503
"150",0,0,0,0,1,0,1,23.2224231464738
"151",0,0,1,0,0,0,0,36.4171907756813
"152",1,1,0,0,0,0,0,59.4006393180607
"153",0,1,0,0,0,0,0,34.7924435721295
"154",0,1,1,0,0,0,0,3.08534946236559
"155",0,1,1,0,0,0,0,59.9780678851175
"156",0,0,0,0,1,0,0,31.8920691711389
"157",0,0,1,0,0,0,1,2.8298755186722
"158",0,1,0,0,1,0,1,1
"159",0,0,0,0,1,0,0,50.3862837045721
"160",0,1,0,1,0,0,1,8.43921568627451
"161",1,0,1,0,0,0,0,40.4611528822055
"162",1,0,0,0,1,0,1,9.10365853658537
"163",0,1,0,0,1,1,0,1
"164",0,0,0,0,1,0,0,21.2718390804598
"165",0,0,1,0,0,0,1,15.2908163265306
"166",0,0,0,0,1,0,0,2.62017640573319
"167",0,0,1,0,0,0,0,46.836815920398
"168",1,0,1,0,1,0,0,17.330655957162
"169",0,0,0,0,0,0,1,42.654037886341
"170",0,1,0,1,0,0,1,47.3509933774834
"171",0,0,0,0,0,0,0,24.1329653788259
"172",0,0,1,0,1,0,0,2.8785046728972
"173",0,1,1,0,1,0,0,22.6760143198091
"174",0,0,0,0,1,1,0,3.23373493975904
"175",0,0,0,0,1,0,1,8.86784140969163
"176",0,0,0,0,1,0,0,28.4119433198381
"177",0,1,1,0,0,0,0,43.2350674373796
"178",0,0,1,0,1,0,0,18.0067148760331
"179",0,0,0,0,0,1,0,39.4633663366337
"180",0,1,1,0,0,0,0,54.1488372093023
"181",0,0,0,0,0,0,0,59.7952716297787
"182",0,0,0,0,1,1,0,24.9399477806789
"183",0,1,1,0,1,0,0,1
"184",0,0,1,0,0,0,0,21.1492537313433
"185",0,1,1,0,1,0,0,1
"186",1,1,0,0,0,0,0,4.30475594493116
"187",1,1,0,0,0,0,0,27.9473386183465
"188",1,1,0,0,1,0,0,4.62806088682991
"189",0,0,1,0,1,0,0,1.89462665736218
"190",0,1,0,0,1,0,0,1
"191",0,1,0,0,1,0,0,1
"192",1,0,0,0,1,1,0,22.6576354679803
"193",0,1,1,0,1,0,1,5.68726937269373
"194",0,0,0,0,1,1,0,21.7493857493857
"195",0,1,0,0,1,0,0,1
"196",1,0,1,1,0,0,1,50.8178217821782
"197",0,1,1,0,0,0,0,30.8735294117647
"198",1,1,1,0,0,0,0,15.1573033707865
"199",1,0,1,0,0,0,0,54.7621621621622
"200",1,1,1,0,0,0,0,57.0473961380924
"201",0,0,0,0,1,1,0,27.4658536585366
"202",1,0,1,0,0,0,0,23.2654978083907
"203",0,0,0,0,1,0,1,1.81979082864039
"204",0,0,0,0,1,1,0,11.2019002375297
"205",0,0,0,0,1,0,1,12.7000681663258
"206",0,1,1,0,0,0,0,8.68167539267016
"207",0,0,0,0,0,0,0,20.0649214659686
"208",0,0,1,0,1,0,1,7.14820846905537
"209",0,1,0,0,0,1,0,5.21235521235521
"210",0,0,1,0,1,0,0,8.1179391682185
"211",1,1,1,0,0,0,0,26.2710622710623
"212",0,0,1,0,0,0,0,15.1587651598677
"213",0,1,1,0,1,0,0,22.1596638655462
"214",1,0,1,0,1,0,0,4.36769759450172
"215",0,0,0,0,0,0,0,23.3024170882518
"216",0,0,0,0,0,0,1,23.4575622208041
"217",0,0,1,0,1,0,0,39.609375
"218",0,1,1,0,1,0,1,7.33299899699097
"219",0,0,0,0,1,1,0,12.6952141057935
"220",0,0,1,0,0,0,0,64.9291938997821
"221",0,1,1,0,1,0,0,62.7388916625062
"222",0,0,0,0,1,0,0,22.0680515759312
"223",0,1,1,1,0,0,1,14.4056094929881
"224",0,0,0,0,1,0,1,11.9899785254116
"225",0,1,0,0,1,0,0,20.4544943820225
"226",1,1,1,1,0,0,1,1
"227",1,1,1,1,0,0,1,1
"228",0,1,0,0,0,0,0,48.9135638297872
"229",0,1,0,0,1,0,0,27.6174899866489
"230",0,0,0,0,1,0,0,12.5628815628816
"231",0,0,0,0,1,1,0,4.46684350132626
"232",0,0,0,0,0,0,0,61.6683016554261
"233",0,1,1,0,1,0,1,8.83863885839737
"234",0,0,0,0,1,0,1,1
"235",1,1,1,1,0,0,1,20.0501193317422
"236",0,1,0,0,0,0,0,24.0955024986119
"237",0,1,1,0,0,0,0,2.12352941176471
"238",0,1,1,0,1,0,0,13.0315288518739
"239",0,1,0,0,0,0,0,16.272489539749
"240",0,1,0,0,0,0,0,66.8892666342885
"241",0,0,0,0,1,0,0,2.60510328068044
"242",1,1,1,0,0,0,0,47.6148102053516
"243",1,0,1,0,1,0,0,4.15923566878981
"244",1,0,1,0,1,0,0,18.4833446634942
"245",0,1,1,0,0,0,0,20.6700191570881
"246",0,1,0,0,0,0,0,7.27180010198878
"247",0,0,0,0,1,0,1,27.0418794688458
"248",1,1,0,1,0,0,1,1
"249",1,0,0,0,1,0,0,33.737676056338
"250",0,0,1,1,0,0,1,22.0824561403509
"251",0,0,0,0,1,1,0,1
"252",0,0,0,0,1,1,0,1
"253",1,0,1,0,0,0,0,31.7732620320856
"254",0,0,1,0,1,0,1,1
"255",1,1,1,0,1,0,0,1
"256",0,1,1,0,0,0,0,14.8768545994065
"257",0,0,1,0,1,0,0,21.1377106333527
"258",0,1,1,0,1,0,0,1
"259",1,1,1,0,1,0,0,2.1886925795053
"260",0,0,0,0,1,0,0,51.6701631701632
"261",0,1,1,0,1,0,0,12.7475961538462
"262",0,0,0,0,1,1,0,3.43765903307888
"263",0,0,1,0,1,0,1,24.2373037857802
"264",0,1,1,0,0,0,0,3.95680093403386
"265",0,0,0,1,0,0,1,58.5097872340425
"266",0,0,0,0,0,0,0,48.3642557651992
"267",0,0,0,0,1,0,1,8.45347985347985
"268",0,1,1,0,0,0,0,3.58456243854474
"269",0,0,1,0,0,0,1,13.7015945330296
"270",0,0,0,0,0,0,1,33.1923076923077
"271",1,1,1,0,0,0,0,8.35546613011402
"272",0,1,0,0,0,0,1,11.5774533657745
"273",0,0,1,0,1,0,0,7.12151394422311
"274",1,1,1,0,0,0,0,4.29572763684913
"275",1,1,1,0,0,0,0,1
"276",0,1,1,0,1,0,0,9.2828535669587
"277",0,0,0,0,0,0,0,28.4167550371156
"278",0,1,0,0,0,0,1,25.167115902965
"279",0,0,0,0,1,0,1,3.19165487977369
"280",0,1,0,0,1,0,1,3.58341658341658
"281",0,1,1,0,1,0,0,1
"282",0,0,0,0,0,0,0,61.3738479262673
"283",0,1,1,1,0,0,1,2.24950099800399
"284",1,0,1,1,0,0,1,11.6655629139073
"285",0,0,0,0,1,1,0,6.8
"286",0,1,1,0,1,0,0,2.06259780907668
"287",0,1,1,0,1,1,0,1
"288",0,0,1,0,0,0,0,16.6671093404161
"289",0,1,0,0,1,0,0,2.9660441426146
"290",0,0,0,0,0,0,1,11.102839600921
"291",0,1,0,1,0,0,1,8.53314121037464
"292",1,1,1,0,0,0,0,9.14029850746269
"293",1,1,0,1,0,0,1,17.4320512820513
"294",0,0,0,0,1,1,0,16.0315533980583
"295",0,0,1,0,0,0,0,3.9906425452277
"296",0,0,1,0,1,0,1,13.8110151187905
"297",0,0,1,1,0,0,1,12.7400793650794
"298",0,1,0,0,1,0,1,2.80671506352087
"299",0,0,1,1,0,0,1,12.6766169154229
"300",1,1,0,0,1,0,0,1
"301",0,0,0,0,1,1,0,2.13012048192771
"302",0,0,1,0,1,0,1,1
"303",1,1,1,0,0,0,0,26.0534069981584
"304",0,0,0,0,0,0,1,16.147676161919
"305",0,1,1,1,0,0,1,1.79394812680115
"306",1,0,1,0,0,0,1,27.551580202743
"307",1,1,1,1,0,0,1,51.9003051881994
"308",0,0,0,0,1,0,0,20.9300894854586
"309",0,1,0,1,0,0,1,8.09225092250922
"310",0,0,1,0,0,0,0,7.49369608493696
"311",0,1,1,1,0,0,1,1
"312",0,0,0,0,1,0,1,48.2513904338154
"313",0,1,0,0,0,0,0,52.8642480983031
"314",0,0,0,0,1,0,0,15.4374009508716
"315",0,0,1,0,1,0,1,16.2027141645462
"316",0,0,0,0,1,0,1,6.79967159277504
"317",0,0,0,0,1,0,1,5.22488356620093
"318",0,1,1,0,0,0,0,19.3246359223301
"319",1,0,0,0,1,0,0,24.1190198366394
"320",0,1,0,0,1,0,1,4.82451253481894
"321",0,0,0,0,1,1,0,1.95760598503741
"322",0,1,0,0,0,0,0,13.2909535452323
"323",0,0,0,0,0,0,1,16.9003802281369
"324",0,1,1,0,1,0,0,9.09365179132621
"325",1,1,0,0,1,0,0,10.2310874704492
"326",0,1,0,0,1,0,0,4.98711943793911
"327",0,0,1,0,0,0,0,56.9722222222222
"328",0,1,1,0,0,0,0,3.81512605042017
"329",0,1,0,0,1,1,0,1.61794871794872
"330",1,1,1,0,1,0,0,27.2044444444444
"331",0,1,0,0,1,0,1,1
"332",0,1,1,0,0,0,0,50.6054650047939
"333",0,1,1,0,0,0,0,10.6226130653266
"334",0,0,1,0,0,0,0,34.9757064947943
"335",0,0,0,0,0,0,0,55.0018984337921
"336",0,0,0,1,0,0,1,6.77684563758389
"337",0,0,0,0,0,0,0,55.127485380117
"338",1,0,1,0,0,0,0,14.053235908142
"339",0,0,1,0,0,0,0,21.6652618904275
"340",0,1,1,0,1,0,0,2.95223880597015
"341",1,0,1,0,0,0,0,59.1906092789268
"342",0,1,1,0,0,0,0,3.21594684385382
"343",0,0,0,0,1,1,0,1
"344",0,1,0,0,1,0,0,7.2947086403215
"345",1,0,1,1,0,0,1,3.95484949832776
"346",0,0,1,0,1,0,0,12.5689440993789
"347",0,0,0,0,1,0,1,3.2073778664008
"348",1,0,0,0,0,0,0,61.8169642857143
"349",0,0,0,0,1,0,1,13.4349859681946
"350",0,1,1,0,0,0,0,35.188029925187
"351",0,1,0,0,0,0,0,9.77447335811648
"352",0,0,0,0,1,0,0,44.3561054330285
"353",1,1,1,0,0,0,0,58.8915906788247
"354",0,1,0,0,1,0,0,6.55915317559153
"355",1,1,1,0,1,0,0,19.8710115410726
"356",0,1,0,0,0,0,0,12.5343861436577
"357",0,0,0,1,0,0,1,12.1760563380282
"358",0,0,0,0,1,0,0,7.11444921316166
"359",0,1,1,0,1,0,0,33.0914760914761
"360",0,1,0,0,1,0,0,1
"361",0,1,1,0,1,0,0,1
"362",0,0,0,0,1,1,0,1
"363",0,0,0,1,0,0,1,3.37328767123288
"364",0,1,0,0,0,0,0,70.4635495223731
"365",0,0,1,1,0,0,1,40.0501474926254
"366",0,0,1,0,1,0,1,2.59040590405904
"367",0,1,1,0,1,0,1,17.7085020242915
"368",0,0,0,0,1,0,1,19.5420081967213
"369",1,0,0,0,1,0,1,7.52349726775956
"370",0,1,0,0,1,1,0,1
"371",0,1,0,0,1,1,0,6.88
"372",0,1,0,0,1,0,0,5.10414507772021
"373",1,0,1,0,0,0,0,66.3764880952381
"374",0,0,0,0,1,1,0,1
"375",1,0,1,0,1,0,0,8.21879483500717
"376",0,0,1,0,0,0,0,56.5057979017118
"377",0,1,1,1,0,0,1,1
"378",0,1,1,0,0,0,0,11.0166777851901
"379",0,0,0,0,1,0,0,26.2947139753802
"380",1,0,1,0,0,0,0,28.7453201970443
"381",0,1,0,0,1,1,0,1
"382",0,1,1,0,1,0,0,1
"383",1,0,1,0,0,0,0,62.6028985507246
"384",0,0,0,0,1,0,1,58.9930423782416
"385",0,0,0,0,1,1,0,20.1432038834951
"386",0,1,0,0,1,0,0,40.826334519573
"387",0,0,0,0,1,1,0,6.63895486935867
"388",0,0,0,0,1,0,0,21.1700921332388
"389",0,0,0,1,0,0,1,18.1220196353436
"390",0,0,0,0,1,1,0,39.8086734693877
"391",0,0,0,0,1,1,0,1.41282051282051
"392",0,0,0,0,1,1,0,19.9338422391858
"393",0,0,0,0,0,0,0,54.3156934306569
"394",0,1,0,0,1,0,0,1
"395",0,1,0,0,1,1,0,1
"396",1,1,1,0,0,0,0,1
"397",0,0,0,0,1,0,0,54.8277136258661
"398",1,1,1,0,0,0,0,16.0764556962025
"399",0,0,1,0,1,0,0,6.65235749472203
"400",1,0,1,1,0,0,1,2.69430894308943
"401",0,1,0,0,1,0,0,1
"402",0,1,0,0,1,0,0,1
"403",0,1,0,0,1,1,0,3.0484693877551
"404",1,0,1,0,1,0,1,11.0219981668194
"405",0,1,1,0,1,0,0,17.1369863013699
"406",1,1,1,0,0,0,0,47.3913729615992
"407",0,0,0,0,1,0,1,45.0054995417049
"408",0,0,0,0,1,1,0,1
"409",0,0,0,1,0,0,1,16.7941767068273
"410",0,0,1,0,0,0,1,13.9168297455969
"411",0,0,1,0,0,0,1,27.9836956521739
"412",1,0,1,0,0,0,0,28.3364839319471
"413",0,0,0,0,0,0,0,62.6337182448037
"414",1,1,1,0,0,0,0,15.8592097941013
"415",0,1,0,0,0,0,1,56.23
"416",0,1,0,0,1,0,1,15.4758812615955
"417",0,1,0,0,1,0,0,1
"418",1,0,0,0,1,0,1,48.0833333333333
"419",0,0,1,0,1,0,1,25.8336431226766
"420",0,0,0,0,1,1,0,1
"421",0,0,0,0,0,1,0,19.1633064516129
"422",0,1,0,1,0,0,1,2.53266331658291
"423",0,1,1,0,0,0,0,1.98133022170362
"424",0,0,1,0,1,1,0,1
"425",0,1,1,0,0,0,0,1
"426",0,0,1,0,1,1,0,15.7549019607843
"427",0,0,0,0,0,0,1,40.5573440643863
"428",0,0,0,0,0,0,0,18.8327702702703
"429",0,0,0,0,0,0,0,68.7283372365339
"430",0,0,1,0,0,1,0,44.8503937007874
"431",0,0,0,0,0,0,0,26.8818635607321
"432",0,0,1,0,0,0,0,11.1020179372197
"433",0,1,1,0,1,0,0,10.7217010631645
"434",0,1,0,0,1,0,0,38.5411203814064
"435",0,0,0,0,0,0,0,25.9215789473684
"436",0,0,0,0,1,1,0,1
"437",0,1,1,0,1,0,0,12.4665203073546
"438",0,1,1,0,0,0,0,7.06521739130435
"439",1,0,1,0,0,0,0,3.95500335795836
"440",1,0,1,0,0,0,0,8.16607981220657
"441",0,0,0,0,1,0,1,12.739852398524
"442",0,1,0,0,1,0,1,6.99075630252101
"443",0,0,1,0,1,0,1,18.9475806451613
"444",0,0,0,0,1,0,0,2.84543869843114
"445",0,1,0,0,1,0,1,5.38469284994965
"446",0,0,0,0,0,0,0,60.6307007786429
"447",0,0,0,1,0,0,1,4.19170984455959
"448",0,0,0,0,0,0,0,45.7786998616874
"449",0,0,1,0,1,0,0,25.1794701986755
"450",0,1,0,0,1,1,0,12.2921052631579
"451",0,0,1,0,0,0,0,8.63435263500325
"452",0,0,0,0,1,1,0,36.5343137254902
"453",0,0,0,0,0,1,0,6.98481973434535
"454",1,0,1,0,1,0,0,15.4698412698413
"455",0,1,0,0,1,0,1,2.3125
"456",0,1,0,0,0,0,0,50.4181217555451
"457",0,0,0,0,0,0,0,20.859229747676
"458",0,0,0,0,0,0,1,3.21685823754789
"459",1,1,0,0,1,0,0,13.9977888336097
"460",0,0,0,0,1,1,0,19.9104859335038
"461",0,1,0,0,1,1,0,1
"462",0,0,0,0,1,0,1,43.2151394422311
"463",0,1,0,0,0,0,1,2.09742647058824
"464",1,0,1,0,0,0,0,3.78442367601246
"465",1,1,1,0,0,0,0,31.8824412206103
"466",0,0,0,0,1,1,0,4.42416452442159
"467",0,1,1,0,1,0,1,3.59668508287293
"468",1,0,0,1,0,0,1,22.1774891774892
"469",0,1,0,0,1,0,0,8.65874587458746
"470",0,1,1,0,0,0,0,54.5862603305785
"471",1,1,0,0,0,0,0,16.111892208553
"472",1,1,1,1,0,0,1,12.0721649484536
"473",1,1,1,0,0,0,0,4.19189645469893
"474",0,1,1,0,1,0,0,1
"475",1,0,1,0,1,0,0,18.3262923846581
"476",0,0,0,0,1,0,1,8.05710206995004
"477",1,1,1,0,0,0,0,1.90388287714831
"478",0,0,1,0,1,0,0,24.4237855946399
"479",1,0,0,0,0,0,0,42.1436672967864
"480",0,1,1,0,0,0,0,21.2059377945335
"481",0,0,1,0,0,0,1,18.1570576540755
"482",0,0,1,0,1,0,0,11.3463356973995
"483",0,1,1,0,0,0,0,2.92185430463576
"484",1,0,1,0,0,0,0,52.6591422121896
"485",0,1,0,1,0,0,1,45.5478547854785
"486",0,1,0,0,0,0,0,52.3323170731707
"487",1,1,0,0,0,0,1,13.7654545454545
"488",0,0,0,1,0,0,1,7.58283433133732
"489",0,1,1,1,0,0,1,1
"490",0,0,1,1,0,0,1,7.625250501002
"491",0,0,0,0,1,1,0,4.15461346633416
"492",0,1,0,0,0,0,0,9.69320162696107
"493",0,1,1,0,0,0,0,63.8588007736944
"494",0,0,0,0,1,1,0,6.57800511508951
"495",0,0,0,0,1,0,0,60.8799787573022
"496",0,0,0,0,0,0,0,12.866875
"497",0,1,0,0,1,1,0,1
"498",0,0,0,0,0,0,1,27.3337988826816
"499",0,0,1,0,1,0,1,11.3054187192118
"500",0,0,1,0,0,0,1,7.16803278688525
"501",0,0,0,0,1,0,1,6.14494596312778
"502",0,0,0,0,1,0,1,11.4543168482816
"503",0,0,0,1,0,0,1,22.3640856672158
"504",1,1,1,0,1,0,0,1
"505",0,1,1,0,0,0,1,11.1650339110776
"506",1,1,1,0,0,0,0,4.50106044538706
"507",0,0,0,0,1,0,1,31.4907786885246
"508",0,0,1,0,0,0,0,15.7148351648352
"509",0,1,0,0,1,1,0,8.22194513715711
"510",0,0,0,0,0,0,0,15.5046554934823
"511",0,0,0,0,1,1,0,7.21515892420538
"512",0,0,0,0,1,1,0,6.88918205804749
"513",1,1,1,0,0,0,0,3.17517847336628
"514",0,0,1,0,1,0,0,11.2270233196159
"515",0,0,1,0,1,0,0,1
"516",1,0,1,0,1,0,0,43.1062830299471
"517",0,0,0,1,0,0,1,41.7764505119454
"518",0,1,0,0,1,0,0,21.1438217420662
"519",0,0,1,0,1,0,1,10.2703677000721
"520",1,1,1,0,0,0,0,3.1600566572238
"521",0,0,1,0,1,0,1,1
"522",0,0,0,0,1,0,1,7.22845129642607
"523",1,1,1,0,1,0,0,1
"524",1,0,0,0,0,0,0,30.1021759697256
"525",0,0,0,0,1,1,0,1
"526",0,0,1,0,1,0,0,57.4417426545086
"527",0,1,1,0,1,0,0,11.0630449362844
"528",0,0,0,0,1,1,0,23.8346456692913
"529",0,1,1,1,0,0,1,27.9852941176471
"530",0,0,0,0,1,0,1,9.6334808259587
"531",0,0,1,1,0,0,1,12.2521440823328
"532",0,1,1,0,1,0,0,1
"533",0,1,1,0,1,0,0,1
"534",0,1,0,0,1,1,0,2.93686868686869
"535",0,1,1,0,0,0,0,10.743654822335
"536",0,1,1,0,1,0,0,55.4211238997969
"537",0,0,0,0,0,0,0,21.8787878787879
"538",0,0,1,0,0,0,0,1
"539",0,0,0,0,1,0,1,40.4701273261508
"540",0,0,0,0,1,0,1,1
"541",0,1,1,0,1,0,0,1
"542",0,1,1,0,0,0,0,10.5355329949239
"543",0,0,0,0,1,0,1,4.23248730964467
"544",1,0,0,0,1,0,1,9.03260869565217
"545",0,1,0,0,0,0,0,10.4686581782566
"546",0,0,0,0,1,1,0,3.08651399491094
"547",0,0,1,0,0,0,0,65.93963878327
"548",0,0,1,0,1,0,1,1
"549",0,0,1,0,1,0,0,37.090813093981
"550",0,0,1,0,1,0,0,6.54939919893191
"551",0,0,1,0,1,0,1,1
"552",0,1,0,0,0,0,0,28.1417989417989
"553",0,0,0,0,0,0,0,29.2455179282869
"554",0,0,0,0,0,0,0,49.6697050938338
"555",0,0,1,0,1,1,0,33.9975786924939
"556",0,0,1,0,0,0,1,53.8634772462077
"557",0,1,0,0,1,1,0,1
"558",1,1,0,1,0,0,1,1
"559",0,0,0,0,1,1,0,28.8690176322418
"560",0,1,0,0,1,0,1,1.76663031624864
"561",0,0,1,0,1,0,0,11.1970534069982
"562",0,1,1,0,1,0,0,12.2555928411633
"563",0,0,0,0,1,0,1,32.8305274971942
"564",0,1,1,0,1,0,1,9.42464835900871
"565",0,1,1,0,1,0,0,6.78328690807799
"566",0,0,0,1,0,0,1,50.9409594095941
"567",0,0,1,0,1,0,1,1
"568",0,0,0,0,1,1,0,13.0686274509804
"569",0,1,0,0,0,0,1,1
"570",0,0,0,0,0,0,1,3.84358974358974
"571",0,0,1,0,0,0,0,60.030131826742
"572",0,0,1,0,0,0,0,30.7196933397221
"573",0,1,0,0,1,0,0,30.7302436125965
"574",0,0,0,0,0,0,0,30.187030075188
"575",0,0,0,0,1,1,0,54.3625
"576",0,0,0,0,1,1,0,42.7469287469287
"577",0,0,0,1,0,0,1,18.6222664015905
