"","gender","is_senior_citizen","partner","dependents","phone_service","internet_service","payment_type","monthly_charges","total_charges","churn"
"44","Female","No","No","No","One line","Fiber optic","Electronic check",86.25,181.65,"Yes"
"45","Female","No","No","No","Two-plus lines","Fiber optic","Bank transfer",89.75,1052.4,"Yes"
"46","Female","No","No","No","Two-plus lines","Fiber optic","Mailed check",80.2,80.2,"Yes"
"47","Female","No","No","No","One line","None","Mailed check",19.85,63.75,"Yes"
"48","Female","No","Yes","No","One line","Fiber optic","Electronic check",90.35,190.5,"No"
"49","Female","Yes","No","No","Two-plus lines","Fiber optic","Bank transfer",86.45,2401.05,"No"
"50","Male","No","No","No","One line","None","Electronic check",20.3,511.25,"No"
"51","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",101.25,3949.15,"No"
"52","Male","No","No","No","Two-plus lines","Fiber optic","Bank transfer",94.7,2362.1,"Yes"
"53","Female","No","No","No","One line","Fiber optic","Mailed check",70.9,70.9,"Yes"
"54","Male","No","Yes","No","One line","DSL","Electronic check",54.2,1152.7,"Yes"
"55","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",86.85,1564.4,"No"
"56","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Bank transfer",109.9,3694.7,"No"
"57","Female","No","No","No","One line","None","Mailed check",19.95,58,"No"
"58","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",87.2,4017.45,"No"
"59","Male","Yes","Yes","No","One line","Fiber optic","Electronic check",89,605.45,"No"
"60","Female","No","Yes","Yes","One line","Fiber optic","Mailed check",74.4,1972.35,"No"
"61","Male","No","No","No","One line","None","Mailed check",20.05,33.7,"No"
"62","Male","Yes","No","No","One line","DSL","Electronic check",74.75,2111.3,"No"
"63","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",85.25,855.3,"Yes"
"64","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",75.2,633.85,"No"
"65","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",84.35,474.9,"Yes"
"66","Female","No","No","No","One line","Fiber optic","Electronic check",105.1,1582.75,"Yes"
"67","Female","No","Yes","Yes","One line","None","Bank transfer",19.4,198.1,"No"
"68","Female","No","No","No","None","DSL","Electronic check",50.35,1098.85,"No"
"69","Male","No","No","No","One line","Fiber optic","Credit card",84.3,2438.6,"No"
"70","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",84.8,371.9,"Yes"
"71","Male","No","No","No","One line","Fiber optic","Electronic check",85.85,167.3,"Yes"
"72","Male","Yes","No","No","One line","Fiber optic","Electronic check",75.35,273.4,"No"
"73","Male","Yes","No","No","None","DSL","Credit card",48.8,2555.05,"No"
"74","Male","No","No","No","Two-plus lines","DSL","Electronic check",47.15,223.15,"Yes"
"75","Female","Yes","No","No","One line","DSL","Electronic check",44.3,89.3,"No"
"76","Male","No","No","No","One line","Fiber optic","Electronic check",84.3,235.05,"No"
"77","Male","No","No","No","Two-plus lines","DSL","Electronic check",59.55,1144.6,"No"
"78","Male","No","No","No","One line","Fiber optic","Electronic check",75.9,75.9,"Yes"
"79","Female","No","No","No","One line","Fiber optic","Credit card",85.55,85.55,"Yes"
"80","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",93.35,1444.65,"Yes"
"81","Female","No","Yes","No","Two-plus lines","Fiber optic","Bank transfer",109.65,5405.8,"No"
"82","Female","No","No","No","Two-plus lines","Fiber optic","Mailed check",84.25,3847.6,"No"
"83","Male","No","Yes","Yes","One line","None","Mailed check",19.7,19.7,"No"
"84","Female","No","No","No","Two-plus lines","DSL","Electronic check",50.1,50.1,"No"
"85","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",81.05,2227.1,"Yes"
"86","Female","No","Yes","Yes","Two-plus lines","DSL","Bank transfer",62.45,2045.55,"No"
"87","Female","Yes","Yes","No","One line","Fiber optic","Bank transfer",75.2,1929.35,"Yes"
"88","Male","No","No","No","One line","Fiber optic","Electronic check",90.4,268.45,"No"
"89","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",85.65,181.5,"Yes"
"90","Female","No","No","Yes","One line","DSL","Mailed check",72.9,651.4,"Yes"
"91","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",74.9,2303.35,"Yes"
"92","Female","No","Yes","Yes","One line","Fiber optic","Bank transfer",100.7,1522.7,"No"
"93","Female","No","No","No","One line","None","Electronic check",19.75,58.85,"Yes"
"94","Male","No","Yes","Yes","None","DSL","Mailed check",58.85,465.7,"No"
"95","Male","No","Yes","Yes","One line","DSL","Electronic check",54.4,475.1,"No"
"96","Male","No","No","No","One line","None","Mailed check",21.05,113.85,"Yes"
"97","Male","No","No","No","Two-plus lines","Fiber optic","Bank transfer",103.7,5036.3,"Yes"
"98","Female","Yes","Yes","Yes","None","DSL","Mailed check",29.3,355.9,"No"
"99","Male","No","Yes","Yes","One line","DSL","Credit card",54.75,1510.3,"No"
"100","Female","No","No","No","One line","DSL","Electronic check",60.55,1982.6,"No"
"101","Female","No","Yes","Yes","Two-plus lines","DSL","Electronic check",86.2,4524.05,"No"
"102","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",95.45,95.45,"Yes"
"103","Male","No","No","No","One line","DSL","Credit card",63.95,318.1,"No"
"104","Female","No","Yes","No","One line","Fiber optic","Electronic check",101.15,842.9,"Yes"
"105","Male","No","No","No","One line","None","Mailed check",19.25,86.05,"No"
"106","Male","No","No","No","One line","Fiber optic","Electronic check",96.1,453.4,"Yes"
"107","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",99.15,6010.05,"Yes"
"108","Male","No","No","No","One line","None","Mailed check",19.85,178.8,"No"
"109","Female","No","No","No","One line","DSL","Electronic check",49.45,314.6,"No"
"110","Female","No","No","No","One line","Fiber optic","Bank transfer",88.8,2274.35,"Yes"
"111","Female","No","No","No","One line","DSL","Mailed check",55.15,322.9,"No"
"112","Male","No","No","No","One line","Fiber optic","Electronic check",84.8,888.75,"No"
"113","Male","No","Yes","No","One line","Fiber optic","Electronic check",80.55,80.55,"Yes"
"114","Female","No","Yes","Yes","One line","DSL","Credit card",58.7,168.6,"No"
"115","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",99.85,2331.3,"Yes"
"116","Male","No","No","No","One line","DSL","Electronic check",45.35,89.5,"Yes"
"117","Male","No","No","No","One line","DSL","Mailed check",48.55,48.55,"Yes"
"118","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",100.2,6851.65,"Yes"
"119","Male","No","No","No","One line","Fiber optic","Electronic check",94.7,740.3,"Yes"
"120","Female","No","No","No","One line","Fiber optic","Electronic check",70.1,70.1,"Yes"
"121","Female","No","No","No","One line","Fiber optic","Electronic check",97.9,315.3,"Yes"
"122","Female","No","Yes","No","One line","Fiber optic","Electronic check",69.95,330.15,"Yes"
"123","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",81.35,233.7,"Yes"
"124","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",106.3,4443.45,"Yes"
"125","Female","No","No","No","One line","Fiber optic","Electronic check",89.3,577.6,"Yes"
"126","Female","No","No","No","One line","None","Mailed check",19.9,320.45,"No"
"127","Female","No","Yes","No","Two-plus lines","Fiber optic","Credit card",102.1,5885.4,"Yes"
"128","Female","Yes","Yes","Yes","One line","Fiber optic","Electronic check",98.9,2911.3,"Yes"
"129","Male","No","Yes","No","One line","DSL","Bank transfer",45.9,521.9,"No"
"130","Female","No","No","Yes","One line","None","Credit card",20.05,471.7,"No"
"131","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",84.9,3067.2,"Yes"
"132","Male","No","No","No","Two-plus lines","Fiber optic","Credit card",108.15,3432.9,"Yes"
"133","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",102.55,1742.5,"No"
"134","Male","No","Yes","No","One line","Fiber optic","Electronic check",78.2,1468.75,"No"
"135","Female","No","No","No","Two-plus lines","Fiber optic","Bank transfer",91.2,3382.3,"No"
"136","Male","No","No","No","One line","None","Mailed check",19.35,46.35,"No"
"137","Female","No","No","No","One line","DSL","Electronic check",50.15,50.15,"No"
"138","Female","No","No","No","One line","DSL","Electronic check",44.6,122.7,"No"
"139","Female","No","No","No","None","DSL","Electronic check",34.7,34.7,"Yes"
"140","Male","No","Yes","No","One line","Fiber optic","Electronic check",93.6,3366.05,"No"
"141","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",90.6,1943.2,"Yes"
"142","Male","No","Yes","Yes","One line","DSL","Mailed check",57.95,1271.8,"No"
"143","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",88.25,1460.65,"Yes"
"144","Female","No","No","No","One line","Fiber optic","Electronic check",85.8,272.2,"Yes"
"145","Male","No","No","No","One line","None","Credit card",20,198.7,"No"
"146","Male","No","No","No","One line","DSL","Credit card",64.4,1398.6,"No"
"147","Female","No","Yes","No","One line","Fiber optic","Electronic check",74.4,139.4,"Yes"
"148","Female","Yes","Yes","No","One line","Fiber optic","Mailed check",70.45,70.45,"Yes"
"149","Female","No","No","No","One line","None","Mailed check",19.3,44.4,"No"
"150","Male","No","No","Yes","One line","DSL","Bank transfer",55.3,1284.2,"No"
"151","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",95.4,3474.2,"No"
"152","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Bank transfer",93.85,5574.75,"Yes"
"153","Female","No","No","No","Two-plus lines","Fiber optic","Bank transfer",101.9,3545.35,"Yes"
"154","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",74.4,229.55,"Yes"
"155","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",95.75,5742.9,"Yes"
"156","Female","No","Yes","No","One line","Fiber optic","Bank transfer",83.85,2674.15,"No"
"157","Female","No","No","No","Two-plus lines","DSL","Electronic check",60.25,170.5,"No"
"158","Female","No","No","No","One line","DSL","Mailed check",44.4,44.4,"Yes"
"159","Male","No","Yes","No","One line","Fiber optic","Credit card",85.3,4297.95,"No"
"160","Male","No","No","Yes","None","DSL","Mailed check",25.5,215.2,"Yes"
"161","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",99.75,4036,"No"
"162","Male","Yes","No","No","One line","DSL","Mailed check",49.2,447.9,"No"
"163","Female","No","No","No","One line","None","Mailed check",20.9,20.9,"Yes"
"164","Male","No","Yes","No","One line","Fiber optic","Bank transfer",87,1850.65,"No"
"165","Male","No","No","No","Two-plus lines","DSL","Electronic check",49,749.25,"No"
"166","Male","No","No","No","One line","Fiber optic","Mailed check",90.7,237.65,"No"
"167","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",100.5,4707.1,"No"
"168","Female","Yes","No","No","One line","Fiber optic","Electronic check",74.7,1294.6,"No"
"169","Female","No","No","No","Two-plus lines","DSL","Mailed check",50.15,2139.1,"No"
"170","Female","No","Yes","No","None","DSL","Bank transfer",45.3,2145,"Yes"
"171","Male","No","No","No","Two-plus lines","Fiber optic","Bank transfer",99.65,2404.85,"No"
"172","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",69.55,200.2,"No"
"173","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",83.8,1900.25,"Yes"
"174","Male","No","No","No","One line","None","Credit card",20.75,67.1,"No"
"175","Male","No","No","No","One line","DSL","Bank transfer",56.75,503.25,"No"
"176","Male","No","No","No","One line","Fiber optic","Credit card",98.8,2807.1,"No"
"177","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",77.85,3365.85,"Yes"
"178","Female","No","Yes","No","One line","Fiber optic","Electronic check",96.8,1743.05,"No"
"179","Male","No","No","No","Two-plus lines","None","Bank transfer",25.25,996.45,"No"
"180","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",96.75,5238.9,"Yes"
"181","Male","No","Yes","No","Two-plus lines","Fiber optic","Bank transfer",99.4,5943.65,"No"
"182","Male","No","Yes","Yes","One line","None","Mailed check",19.15,477.6,"No"
"183","Female","No","No","No","One line","Fiber optic","Electronic check",69.5,69.5,"Yes"
"184","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",73.7,1558.7,"No"
"185","Female","No","No","No","One line","Fiber optic","Electronic check",79.7,79.7,"Yes"
"186","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Bank transfer",79.9,343.95,"Yes"
"187","Female","Yes","No","No","Two-plus lines","Fiber optic","Credit card",88.3,2467.75,"Yes"
"188","Female","Yes","No","No","One line","Fiber optic","Credit card",75.55,349.65,"Yes"
"189","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",71.65,135.75,"No"
"190","Female","No","No","No","One line","Fiber optic","Mailed check",71.1,71.1,"Yes"
"191","Male","No","No","Yes","One line","Fiber optic","Mailed check",70.45,70.45,"Yes"
"192","Female","Yes","No","No","One line","None","Mailed check",20.3,459.95,"No"
"193","Female","No","No","No","One line","DSL","Electronic check",54.2,308.25,"Yes"
"194","Female","No","Yes","Yes","One line","None","Mailed check",20.35,442.6,"No"
"195","Female","No","No","No","One line","Fiber optic","Mailed check",70.75,70.75,"Yes"
"196","Female","Yes","No","No","None","DSL","Electronic check",50.5,2566.3,"No"
"197","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",85,2624.25,"Yes"
"198","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",75.65,1146.65,"Yes"
"199","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",74,4052.4,"No"
"200","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",85.45,4874.7,"Yes"
"201","Female","No","Yes","No","One line","None","Mailed check",20.5,563.05,"No"
"202","Male","Yes","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",79.85,1857.75,"No"
"203","Female","No","Yes","No","One line","DSL","Mailed check",62.15,113.1,"No"
"204","Male","No","No","Yes","One line","None","Credit card",21.05,235.8,"No"
"205","Male","No","No","No","One line","DSL","Mailed check",73.35,931.55,"No"
"206","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",95.5,829.1,"Yes"
"207","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",95.5,1916.2,"No"
"208","Female","No","No","No","One line","DSL","Electronic check",61.4,438.9,"No"
"209","Male","No","Yes","Yes","Two-plus lines","None","Bank transfer",25.9,135,"Yes"
"210","Female","No","No","No","One line","Fiber optic","Electronic check",80.55,653.9,"No"
"211","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",95.55,2510.2,"Yes"
"212","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",90.7,1374.9,"No"
"213","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",83.3,1845.9,"Yes"
"214","Female","Yes","No","No","One line","Fiber optic","Electronic check",72.75,317.75,"No"
"215","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",88.95,2072.75,"No"
"216","Female","No","No","No","Two-plus lines","DSL","Bank transfer",78.35,1837.9,"No"
"217","Male","No","Yes","No","One line","Fiber optic","Electronic check",80,3168.75,"No"
"218","Female","No","No","No","One line","DSL","Electronic check",49.85,365.55,"Yes"
"219","Male","No","Yes","Yes","One line","None","Mailed check",19.85,252,"No"
"220","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",91.8,5960.5,"No"
"221","Female","No","Yes","Yes","One line","Fiber optic","Electronic check",100.15,6283.3,"Yes"
"222","Female","No","Yes","No","One line","Fiber optic","Bank transfer",69.8,1540.35,"No"
"223","Male","No","Yes","No","None","DSL","Electronic check",46.35,667.7,"Yes"
"224","Male","No","No","Yes","One line","DSL","Mailed check",69.85,837.5,"No"
"225","Male","No","Yes","No","One line","Fiber optic","Mailed check",89,1820.45,"Yes"
"226","Female","Yes","No","No","None","DSL","Electronic check",25.25,25.25,"Yes"
"227","Male","Yes","Yes","No","None","DSL","Electronic check",25.05,25.05,"Yes"
"228","Male","No","No","Yes","Two-plus lines","Fiber optic","Credit card",75.2,3678.3,"Yes"
"229","Male","No","No","Yes","One line","Fiber optic","Bank transfer",74.9,2068.55,"Yes"
"230","Female","No","No","No","One line","Fiber optic","Mailed check",81.9,1028.9,"No"
"231","Male","No","Yes","Yes","One line","None","Mailed check",18.85,84.2,"No"
"232","Female","No","Yes","No","Two-plus lines","Fiber optic","Bank transfer",81.55,5029.05,"No"
"233","Male","No","No","No","One line","DSL","Electronic check",45.55,402.6,"Yes"
"234","Female","No","No","No","One line","DSL","Bank transfer",48.45,48.45,"No"
"235","Female","Yes","No","No","None","DSL","Electronic check",41.9,840.1,"Yes"
"236","Female","No","No","No","Two-plus lines","Fiber optic","Bank transfer",90.05,2169.8,"Yes"
"237","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",76.5,162.45,"Yes"
"238","Male","No","Yes","Yes","One line","Fiber optic","Electronic check",84.05,1095.3,"Yes"
"239","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",95.6,1555.65,"Yes"
"240","Female","No","No","No","Two-plus lines","Fiber optic","Credit card",102.95,6886.25,"Yes"
"241","Male","No","No","No","One line","Fiber optic","Mailed check",82.3,214.4,"No"
"242","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",80.35,3825.85,"Yes"
"243","Male","Yes","No","No","One line","Fiber optic","Electronic check",70.65,293.85,"No"
"244","Female","Yes","No","No","One line","Fiber optic","Electronic check",73.55,1359.45,"No"
"245","Male","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",104.4,2157.95,"Yes"
"246","Male","No","No","No","Two-plus lines","Fiber optic","Bank transfer",98.05,713,"Yes"
"247","Male","No","No","No","One line","DSL","Bank transfer",48.95,1323.7,"No"
"248","Female","Yes","No","No","None","DSL","Mailed check",25.8,25.8,"Yes"
"249","Male","Yes","Yes","No","One line","Fiber optic","Credit card",85.2,2874.45,"No"
"250","Female","No","Yes","No","None","DSL","Electronic check",28.5,629.35,"No"
"251","Female","No","No","No","One line","None","Mailed check",20.25,20.25,"No"
"252","Male","No","No","No","One line","None","Mailed check",20.45,20.45,"No"
"253","Male","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",93.5,2970.8,"No"
"254","Female","No","No","No","One line","DSL","Electronic check",54.65,54.65,"No"
"255","Female","Yes","Yes","Yes","One line","Fiber optic","Electronic check",69.25,69.25,"Yes"
"256","Male","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",101.1,1504.05,"Yes"
"257","Female","No","Yes","No","One line","Fiber optic","Electronic check",86.05,1818.9,"No"
"258","Male","No","Yes","No","One line","Fiber optic","Electronic check",95,95,"Yes"
"259","Female","Yes","No","No","One line","Fiber optic","Electronic check",70.75,154.85,"Yes"
"260","Female","No","Yes","Yes","One line","Fiber optic","Bank transfer",85.8,4433.3,"No"
"261","Male","No","No","No","One line","Fiber optic","Electronic check",83.2,1060.6,"Yes"
"262","Male","No","No","No","One line","None","Mailed check",19.65,67.55,"No"
"263","Male","No","No","Yes","One line","DSL","Electronic check",54.15,1312.45,"No"
"264","Male","No","No","No","Two-plus lines","Fiber optic","Electronic check",85.65,338.9,"Yes"
"265","Female","No","Yes","No","None","DSL","Bank transfer",58.75,3437.45,"No"
"266","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",95.4,4613.95,"No"
"267","Male","No","No","No","One line","DSL","Bank transfer",68.25,576.95,"No"
"268","Male","No","No","Yes","Two-plus lines","Fiber optic","Electronic check",101.7,364.55,"Yes"
"269","Male","No","Yes","No","Two-plus lines","DSL","Electronic check",65.85,902.25,"No"
"270","Female","No","No","No","Two-plus lines","DSL","Mailed check",65,2157.5,"No"
"271","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",74.55,622.9,"Yes"
"272","Female","No","No","No","Two-plus lines","DSL","Mailed check",61.65,713.75,"Yes"
"273","Female","No","No","No","One line","Fiber optic","Electronic check",100.4,715,"No"
"274","Female","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",74.9,321.75,"Yes"
"275","Female","Yes","Yes","No","Two-plus lines","Fiber optic","Electronic check",74.45,74.45,"Yes"
"276","Male","No","Yes","No","One line","Fiber optic","Electronic check",79.9,741.7,"Yes"
"277","Male","No","No","No","Two-plus lines","Fiber optic","Credit card",94.3,2679.7,"No"
"278","Male","No","No","No","Two-plus lines","DSL","Bank transfer",55.65,1400.55,"Yes"
"279","Male","No","No","Yes","One line","DSL","Mailed check",70.7,225.65,"No"
"280","Male","No","Yes","No","One line","DSL","Mailed check",50.05,179.35,"Yes"
"281","Female","No","No","No","One line","Fiber optic","Electronic check",82.3,82.3,"Yes"
"282","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Bank transfer",86.8,5327.25,"No"
"283","Male","No","No","No","None","DSL","Electronic check",25.05,56.35,"Yes"
"284","Female","Yes","Yes","No","None","DSL","Electronic check",45.3,528.45,"No"
"285","Male","No","No","No","One line","None","Mailed check",20.75,141.1,"No"
"286","Male","No","No","No","One line","Fiber optic","Electronic check",95.85,197.7,"Yes"
"287","Female","No","No","No","One line","None","Electronic check",19.3,19.3,"Yes"
"288","Female","No","Yes","Yes","Two-plus lines","Fiber optic","Electronic check",112.95,1882.55,"No"
"289","Male","No","No","No","One line","Fiber optic","Mailed check",88.35,262.05,"Yes"
"290","Male","No","Yes","Yes","Two-plus lines","DSL","Bank transfer",65.15,723.35,"No"
"291","Male","No","No","No","None","DSL","Credit card",34.7,296.1,"Yes"
"292","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",100.5,918.6,"Yes"
"293","Male","Yes","No","No","None","DSL","Mailed check",39,679.85,"Yes"
"294","Male","No","No","No","One line","None","Credit card",20.6,330.25,"No"
"295","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",80.15,319.85,"No"
"296","Female","No","Yes","Yes","One line","DSL","Electronic check",46.3,639.45,"No"
"297","Female","No","No","Yes","None","DSL","Electronic check",25.2,321.05,"No"
"298","Female","No","No","Yes","One line","DSL","Mailed check",55.1,154.65,"Yes"
"299","Female","No","No","Yes","None","DSL","Electronic check",30.15,382.2,"No"
"300","Male","Yes","Yes","No","One line","Fiber optic","Mailed check",70.85,70.85,"Yes"
"301","Male","No","No","No","One line","None","Mailed check",20.75,44.2,"No"
"302","Male","No","No","No","One line","DSL","Electronic check",75.5,75.5,"No"
"303","Male","Yes","No","No","Two-plus lines","Fiber optic","Electronic check",81.45,2122.05,"Yes"
"304","Male","No","Yes","Yes","Two-plus lines","DSL","Mailed check",66.7,1077.05,"No"
"305","Female","No","No","No","None","DSL","Electronic check",34.7,62.25,"Yes"
"306","Female","Yes","Yes","No","Two-plus lines","DSL","Electronic check",83.85,2310.2,"No"
"307","Male","Yes","No","No","None","DSL","Electronic check",49.15,2550.9,"Yes"
"308","Female","No","No","No","One line","Fiber optic","Bank transfer",89.4,1871.15,"No"
"309","Male","No","Yes","No","None","DSL","Mailed check",40.65,328.95,"Yes"
"310","Female","No","No","No","Two-plus lines","Fiber optic","Electronic check",75.35,564.65,"No"
"311","Male","No","No","No","None","DSL","Electronic check",35.55,35.55,"Yes"
"312","Female","No","No","No","One line","DSL","Bank transfer",44.95,2168.9,"No"
"313","Male","No","No","No","Two-plus lines","Fiber optic","Bank transfer",85.45,4517.25,"Yes"
"314","Female","No","Yes","No","One line","Fiber optic","Bank transfer",94.65,1461.15,"No"
"315","Female","No","No","No","One line","DSL","Electronic check",58.95,955.15,"No"
"316","Male","No","No","No","One line","DSL","Mailed check",60.9,414.1,"No"
"317","Male","No","No","No","One line","DSL","Bank transfer",75.15,392.65,"No"
"318","Female","No","Yes","No","Two-plus lines","Fiber optic","Electronic check",82.4,1592.35,"Yes"
"319","Female","Yes","Yes","No","One line","Fiber optic","Credit card",85.7,2067,"No"
"320","Female","No","No","No","One line","DSL","Credit card",53.85,259.8,"Yes"
"321","Female","No","No","No","One line","None","Mailed check",20.05,39.25,"No"
"322","Male","No","Yes","No","Two-plus lines","Fiber optic","Credit card",102.25,1359,"Yes"
